n°,titre_initiative,resume_initiative,tag_besoin_niv1_code,tag_besoin_niv2_code,tag_produit_niv1_code,tag_produit_niv2_code,tag_structure_niv1_code,nom_structure,url_initiative,contact_mail,contact_tel,materiel_utilise,machine_utilisee,capacite_production,version,adresse,code_postal,ville,pays,url_illustration,commentaires,source,est_actif,langue,auteur_data,validation,notes_validation,a_publier,date_maj
11,Civic tech Hub,-,SANTE,-,GROUPE/INITIATIVE,MAKERS,-,,https://docs.google.com/document/d/e/2PACX-1vS2p8BPJ5d0WcHxRAB0BWCv6fY2lgZPVanfZNqOX4z2e00cOEwPIWhlO5ZNlPb5Fe2Pva_c74leKrR2/pub,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_makers_2.png,-,,oui,fr,JPy,NR,,OUI,
12,OMS infos,-,INFOS/DATA/SANTE,SCIENCE,MEDIA/INITIATIVE,INFO,INSTITUTION,OMS,https://www.who.int/fr/emergencies/diseases/novel-coronavirus-2019/advice-for-public/q-a-coronaviruses,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_info_2.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
13,Best pratices,-,INFOS/DATA/SANTE,SCIENCE,DATA/INITIATIVE,INFO,NR,,https://safecast.org/2020/03/best-practices-in-reference-to-covid-19,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_info_2.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
14,World in data - covid19,-,INFOS/DATA/SANTE,SCIENCE,DATA/INITIATIVE,INFO,-,,https://ourworldindata.org/coronavirus,,,-,-,-,-,NA,NA,NA,INTERNATIONAL,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_info_2.png?raw=true,-,,oui,en,JPy,NR,,OUI,
15,Groupe d’entraide international (kit de détection du SARS-CoV-2) https://app.jogl.io/project/118,-,HELP,,GROUPE/INITIATIVE,MAKERS,-,,https://app.jogl.io/project/118,,,-,-,-,-,NA,NA,NA,INTERNATIONAL,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_makers_2.png,-,,oui,fr/en/de,JPy,NR,,OUI,
16,Regroupement des chercheurs : http://crowdfightcovid19.org/,-,HELP,,GROUPE/INITIATIVE,INITIATIVE,-,,http://crowdfightcovid19.org/,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_initiative_2.png?raw=true,-,,oui,fr,JPy,NR,,NON,
17,Groupe d’entraide Maker sur Facebook Contact @ouam41 sur le discord,-,HELP,,GROUPE/INITIATIVE,ENTRAIDE/MAKERS,GROUPE,,https://www.facebook.com/groups/1120744844933688,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_entraide_2.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
18,Groupe entraide maker international (attention  tout n’est pas à prendre),-,HELP,,GROUPE/INITIATIVE,ENTRAIDE/MAKERS,GROUPE,,https://www.facebook.com/groups/670932227050506/about#_=_,,,-,-,-,-,NA,NA,NA,INTERNATIONAL,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_entraide_2.png?raw=true,-,,oui,en,JPy,NR,,OUI,
19,#COVID entraide Rhône-Alpes,-,HELP,,GROUPE/INITIATIVE,INITIATIVE,-,,https://pad.degrowth.net/0BDaA2_PQkeO56ScMHYLjA?view,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_initiative_2.png?raw=true,-,,oui,fr,JPy,NR,,NON,
20,#COVID entraide info France,-,HELP,,GROUPE/INITIATIVE,ENTRAIDE,GROUPE,,https://www.facebook.com/groups/208192820288100/,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_entraide_2.png,-,,oui,fr,JPy,NR,,OUI,
21,#COVID entraide France,-,HELP,,GROUPE/INITIATIVE,ENTRAIDE,GROUPE,,tg://join?invite=Kd5EWxK0U1v0qbOffsqp0w,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_entraide_2.png,-,,oui,fr,JPy,NR,,OUI,
22,#COVID-ENTRAIDE,-,HELP,,GROUPE/INITIATIVE,ENTRAIDE,GROUPE,,tg://join?invite=Kd5EW0kFszT96K7Q32Ohag,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_entraide_2.png,-,,oui,fr,JPy,NR,,OUI,
23,@corona live (France),-,HELP,,GROUPE/INITIATIVE,INFO,GROUPE,,https://webtelegram.us/#/im?p=@coronalive,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_info_2.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
24,Logal Groupe Resources (UK),-,HELP,,GROUPE/DATA/INITIATIVE,ENTRAIDE,NR,,https://covidmutualaid.org/resources,,,-,-,-,-,NA,NA,NA,UK,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_entraide_2.png,-,,oui,en,JPy,NR,,OUI,
26,Groups inventory (USA) - COVID-19 Mutual Aid - ,,HELP,,LISTE/GROUPE/INITIATIVE,ENTRAIDE,GROUPE,,https://itsgoingdown.org/c19-mutual-aid/,,,-,-,-,-,NA,NA,NA,USA,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_entraide_2.png,-,,oui,en,CG,NR,,OUI,
27,Groups inventory  (Germany) -  COVID-19 local solidarity,,HELP,,LISTE/GROUPE/INITIATIVE,ENTRAIDE,NR,,https://listling.org/lists/pwfjfkpjmesjjinm/solidarische-nachbarschaftshilfe,,,-,-,-,-,NA,NA,NA,ALLEMAGNE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_entraide_2.png,-,,oui,de,CG,NR,,OUI,
28,(Columbia) Mutual Aid,,HELP/INFO,,GROUPE/LISTE/INITIATIVE,ENTRAIDE,GROUPE,,https://actua.frenalacurva.net/,,,-,-,-,-,NA,NA,NA,COLOMBIE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_entraide_2.png,-,,oui,es/fr,CG,NR,,OUI,
29,(China) Wuhan 2020 Open source community,,HELP/INFOS/DATA,,GROUPE/LISTE/INITIATIVE,MAKERS/INFO,GROUPE,,https://github.com/wuhan2020/wuhan2020/blob/master/README_EN.md,,,-,-,-,-,NA,NA,NA,CHINE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_makers_2.png?raw=true,-,,oui,ch/en,CG,NR,,OUI,
30,Groupe Discord Gel Hydro Alcoolique,,SANTE,,GROUPE/LISTE/INITIATIVE,GEL/MAKERS,GROUPE,,https://discordapp.com/channels/689048131253698563/689052206552580136,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_gel_2.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
31,FabLab Corti ,,NUMERIQUE,,DIY/NUMERIQUE,MAKERS,NR,,https://www.facebook.com/fablabcorti,,,,,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/other/makers_uniti.jpg?raw=true,,,oui,fr,JPy,NR,,OUI,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Covisière YOUFACTORY V2,"De Lyon  validé par les hôpitaux du coin  peu gourmand en matière  pas d'élastique (donc facile à nettoyer).

Modèle testé et encouragé par la plateforme entraine makers covid19",SANTE,,DIY,VISIERE,GROUPE,You Factory,https://grabcad.com/library/covisiere-youfactory-v1-1,,,,,,,NA,NA,NA,NA,https://d2t1xqejof9utc.cloudfront.net/screenshots/pics/25bc593dfe153dd74d4a029fe094ffa9/original.jpeg,,,,fr,JPy,UTILISE_DANS_STRUCT_MEDICALE_FR,,OUI,01/04/2020
2,Modèle Proto Shield,Modèle testé et encouragé par la plateforme entraine makers covid19,SANTE,,DIY,VISIERE,GROUPE,Proto Haven,https://www.protohaven.org/proto-shield/,,,,,,,NA,NA,NA,NA,https://i1.wp.com/www.protohaven.org/wp-content/uploads/2020/03/16.jpg?strip=info&w=960&ssl=1,,,,fr,,,,OUI,01/04/2020
3,Masque visière anti-projection pour laser,Modèle testé et encouragé par la plateforme entraine makers covid19,SANTE,,DIY,VISIERE,NR,,https://cults3d.com/fr/mod%C3%A8le-3d/outil/masque-visiere-anti-projection-pour-laser,,,,,,,NA,NA,NA,NA,https://files.cults3d.com/uploaders/12892626/illustration-file/67ccfba6-54bd-4f43-98a3-dad36df7bcfd/IMG_20200323_221646_large.jpg,,,,fr,,,,OUI,01/04/2020
4,Guide de création de gel hydroalcoolique,Pad de présentation du guide de création de gel hydroalcoolique,SANTE,HYGIENE,DIY,GEL,GROUPE,,https://pad.degrowth.net/pCCyDqYpTQqfoj2LabCevA#,-,-,-,-,-,-,NA,NA,NA,NA,https://medias.liberation.fr/photo/1298610-checknews-gel.jpg?modified_at=1583665434&width=960,,,,fr,JPy,NR,,OUI,
5,Breezy - the crisis emergency ventilator,Projet Breezy porté par le collectif JOGL. Breezy vise la conception d'un ventilateur pulmonaire peu coûteux  simple et facile à utiliser. le projet inclut une application Android pour fournir des graphiques en ligne sur le débit et la pression réels.,SANTE,HOPITAL,DIY,RESPIRATEUR_VENTILATOR,GROUPE,,https://app.jogl.io/project/151,-,-,-,-,-,-,NA,NA,NA,NA,https://app.jogl.io/static/media/logo_img.70d01ace.png,,,,fr,JPy,NR,,OUI,
6,COVID-19 Medical Face Shield,-,SANTE,PROTECTION,DIY,VISIERE,INSTITUTION,UNIVERSITY of WISCONSIN–MADISON Makerspace,https://making.engr.wisc.edu/shield/,-,-,-,-,-,-,NA,NA,NA,NA,https://making.engr.wisc.edu/wp-content/uploads/sites/1271/2020/03/Covid-19_Hero_1_v3-1.png,,,,fr,JPy,PARTIELLE,Il y a des personnels de santé dans l'équipe. ce n'est pas hyper clair si leur modèle est utilisé dans les hopitaux ou s'ils pointent celui dont ils s'inspirent. Ils cherchent des acteurs capable de produire en série.,OUI,
7,Low-cost & Open-Source Covid19 Detection kits,Kits de détection Covid19 à bas coût et Open Source porté par le collectif JOGL,SANTE,HOPITAL,DIY,TESTKIT,ANONYME,,https://app.jogl.io/project/118,-,-,-,-,-,-,NA,NA,NA,NA,https://app.jogl.io/static/media/logo_img.70d01ace.png,,,,fr,JPy,NR,,OUI,
8,Formule de l'OMS - Guide de création  gel hydroalcoolique,"Document  PDF. Guide de Production locale :
Formulations des Produits hydro-alcooliques
recommandés par l’OMS",SANTE,HYGIENE,DIY/PRO,GEL,ANONYME,,https://cdn.discordapp.com/attachments/689052206552580136/689112626361532591/guide_production_locale_produit_hydro_alcoolique.pdf,-,-,-,-,-,-,NA,NA,NA,NA,https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2Ffac.2F2020.2F03.2F19.2F2e8743b9-0baa-4093-a93a-6fdc36573318.2Ejpeg/737x415/quality/90/crop-from/center/8-idees-recues-sur-les-gels-hydroalcooliques.jpeg,Gel Hydroalcoolique,,,fr,JPy,NR,,NON,
9,Création de gel hydroalcoolique,Recettes de Gel  proposées par Femmes Actuelles,SANTE,HYGIENE,DIY,GEL,ANONYME,,https://www.femmeactuelle.fr/sante/sante-pratique/gel-hydroalcoolique-la-recette-pour-fabriquer-son-propre-desinfectant-pour-les-mains-2092084?fbclid=IwAR12LJF9yp88oF7hAzAPhsrZTzDE2Eq_oLIXNnQYGsTl-FDkN25DDq0V1B4,-,-,-,-,-,-,NA,NA,NA,NA,https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2Ffac.2F2020.2F03.2F19.2F2e8743b9-0baa-4093-a93a-6fdc36573318.2Ejpeg/737x415/quality/90/crop-from/center/8-idees-recues-sur-les-gels-hydroalcooliques.jpeg,,,,fr,JPy,NR,,OUI,
10,Patron pour masque de soin en tissu (CHU Grenoble),Document PDF. Guide de fabrication de masques de protection en tissu réalisé par le CHU de Grenoble. ,SANTE,HOPITAL,DIY/PRO,MASQUE_TISSU,ANONYME,,https://cdn.discordapp.com/attachments/689052155310506005/689112495134081063/faites_vos_masques_a_la_maison.pdf,-,-,-,-,-,-,NA,NA,NA,NA,https://cdn.radiofrance.fr/s3/cruiser-production/2020/03/ee6ae602-0eac-4905-adb8-be6a501821f3/870x489_masque_tissu.webp,Masque,,,fr,JPy,NR,?,OUI,
11,Masque de protection facial au projection faite avec une feuille A4 transparente,"Print Settings
Printer brand:
Creality

Printer:
CR10S PRO

Rafts:
Yes

Supports:
Doesn't Matter

Resolution:
0.2

Infill:
30%",SANTE,PROTECTION,DIY,VISIERE,ANONYME,,https://www.thingiverse.com/thing:4147460,-,-,-,-,-,-,NA,NA,NA,NA,https://cdn.thingiverse.com/assets/19/b9/c7/c6/87/featured_preview_IMG_20200205_233017.jpg,Protection,,,fr,JPy,NR,,OUI,
12,Kit pour faire un masque en papier absorbant,Attache en I3D ,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4218338,-,-,-,-,-,-,NA,NA,NA,NA,https://cdn.thingiverse.com/assets/60/68/95/00/fe/featured_preview_IMG_20200320_174826_947.jpg,Masque en sopalin MAIS avec accessoires,,,en/es/it,JPy,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,NON,
13,boitier Hepa customisable - pour valve de masque I3D,-,SANTE,HOPITAL,DIY,MASQUE_I3D/ACCESSOIRE,ANONYME,,https://www.thingiverse.com/thing:4196325,-,-,-,-,-,-,NA,NA,NA,NA,https://cdn.thingiverse.com/assets/10/55/b9/0d/d1/large_display_IMG_3312.jpg,Protection,,,fr,JPy,NR,,OUI,
14,Boitier PCR low-cost,-,SANTE,HOPITAL,DIY,TESTKIT,ANONYME,,,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_test_2.png?raw=true,Test / détection,,,fr,JPy,NR,,NON,
15,Papier toilette ré-utilisable,-,SANTE,HYGIENE,DIY,AUTRE,ANONYME,,https://www.thingiverse.com/thing:4217621,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_13.png?raw=true,Hygiéne,,,fr,JPy,NR,,NON,
16,Masque de protection avec 2 filtres,-,SANTE,HOPITAL,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4217534,-,-,-,-,-,-,NA,NA,NA,NA,https://cdn.thingiverse.com/assets/0e/5b/b3/1c/60/featured_preview_IMG_20200312_150449.jpg,Masque,,,fr,JPy,NR,,OUI,
17,HEPA Masque de protection,-,SANTE,HOPITAL,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4222563,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/Capture%20d%E2%80%99e%CC%81cran%202020-03-29%20a%CC%80%2011.51.21.png,Masque,,,fr,JPy,NR,"NOTE : sur  https://pad.degrowth.net/bP1B0Lj_SHmiPIAYGkw7Hg  il est indiqué que : Ne pas utiliser ce modele  le pas de vis est en mirroir et est donc dans le mauvais sens. Impossible de viser le bouchon.
J’ai patcher la version (RootBSD). Lien : https://cdn.discordapp.com/attachments/689052155310506005/690272244387283438/Fixed_Version_V3.7z",NON,
18,Savegrabber - permet d'ouvrir des portes  appyer des boutons,-,SANTE,PROTECTION,DIY,PORTE,ANONYME,,https://www.thingiverse.com/thing:4192643,-,-,-,-,-,-,NA,NA,NA,NA,https://cdn.thingiverse.com/assets/cc/a4/7b/82/0b/featured_preview_Photo-2020-03-03-07-57-15_9752.JPG,Protection,,,fr,JPy,NR,,OUI,
19,Masque jetable à base de filtre à café,-,SANTE,HOPITAL,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4199749,-,-,-,-,-,-,NA,NA,NA,NA,https://cdn.thingiverse.com/assets/aa/d2/03/06/c6/featured_preview_87042125_2827484523997820_4205562350528364544_n.jpg,Masque,,,fr,JPy,NR,,OUI,
20,Lunettes fabriquées à partir de bouteille,-,SANTE,PROTECTION,DIY,VISIERE,ANONYME,,https://www.instructables.com/id/Soda-Bottle-Safety-Goggles./,-,-,-,-,-,-,NA,NA,NA,NA,https://cdn.instructables.com/F45/T4M6/6O4EP27RLSW/F45T4M66O4EP27RLSW.LARGE.jpg,Protection,,,fr,JPy,NR,,OUI,
21,3D Printed Face Mask Buckle,-,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,Creality,https://www.thingiverse.com/thing:4187448/files,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2011.55.14.png,Accessoire masque,,,en,CG,NR,,OUI,
22,Visière - Fablab ULB - CHU Saint-Pierre,-,SANTE,PROTECTION,DIY,VISIERE,INSTITUTION,FabLab UBL,https://gitlab.com/fablab-ulb/projects/coronavirus/protective-face-shields,-,-,-,-,-,-,NA,NA,NA,NA,https://gitlab.com/fablab-ulb/projects/coronavirus/protective-face-shields/-/raw/master/docs/images/2Masks.png,Visière,,,en,CG,UTILISE_DANS_STRUCT_MEDICALE_ETR,"Il est écrit que c'est ""Validés par les médecins hygiénistes et la direction de l’hôpital CHU Saint-Pierre à Bruxelles."" ici https://docs.google.com/document/d/1yDyYDmnSss1Gs43ypK19DpQxmCVWys-UQN4oXZqrhRo/edit?fbclid=IwAR2xFoVac-FHBHoiqAalSj1bvDw5c1raAnC9Jv3NKjNwkS-9h7n0mOXnric",OUI,
23,PROTOTYPE DE RESPIRATEUR - OxyGEN ,-,SANTE,HOPITAL,DIY,RESPIRATEUR_VENTILATOR,GROUPE/ENTREPRISE,Protofy.xyz,https://www.oxygen.protofy.xyz/,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2012.18.37.png,Respirateur,,,en,CG,NR,,OUI,
24,EMERGENCY VENTILATOR SYSTEMS ,-,SANTE,HOPITAL,DIY,RESPIRATEUR_VENTILATOR,GROUPE,ebcore,https://www.ebcore.io/?fbclid=IwAR13Fql14xM0Xty3w5cSyfWXLUfD-ML3ri8gdej-J8O8oY0X2Fq7uDSmx4o,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2012.19.38.png,Ventilator / vidéo d'explication : https://www.youtube.com/watch?v=vcuFVMVx930&feature=youtu.be&fbclid=IwAR2nwsROxwZNmnizLkoiEUNauFhFGBigEXsw7AGZajNFVEgvHYdOpXleTQk,,,en,CG,NR,,OUI,
25,OpenLung BVM Ventilator,-,SANTE,HOPITAL,DIY/GROUPE,RESPIRATEUR_VENTILATOR,GROUPE,,https://gitlab.com/open-source-ventilator/OpenLung?fbclid=IwAR1cMnUQW_t-wksl8RsbsHRplAWurPFVD63eZi71qJ65h7G1-F9p5HA-grU,-,-,-,-,-,-,NA,NA,NA,NA,https://gitlab.com/open-source-ventilator/OpenLung/-/raw/master/images/current_concept.png,Ventilator / vidéo d'explication : https://www.youtube.com/watch?v=vcuFVMVx930&feature=youtu.be&fbclid=IwAR2nwsROxwZNmnizLkoiEUNauFhFGBigEXsw7AGZajNFVEgvHYdOpXleTQk,,,en,CG,NR,,OUI,
26,InnspiraMED Open Source Mechanical Ventilators,-,SANTE,HOPITAL,DIY,RESPIRATEUR_VENTILATOR,ANONYME,,https://letsbeatcovid19.blogspot.com/,-,-,-,-,-,-,NA,NA,NA,NA,https://1.bp.blogspot.com/-bDmJhMmerMM/XnICXsRBd9I/AAAAAAAAJwU/0Xss_rUmZq055JhJpuidq5jS5FRYqYOXgCLcBGAsYHQ/s400/WhatsApp%2BImage%2B2020-03-17%2Bat%2B18.39.23.jpeg,,,,en,CG,NR,,OUI,
27,Visières pour les soignants,-,SANTE,PROTECTION,DIY,VISIERE,INSTITUTION,Centrale Supelec,http://lafabrique.centralesupelec.fr/visiere/,-,-,-,-,-,-,NA,NA,NA,NA,http://www.3d4care.com/img/06.jpg,Visières,,,fr,CG,UTILISE_DANS_STRUCT_MEDICALE_FR,Processus en cours le 25/03/2020,OUI,
28,Simply Flexible Mask Valvy,-,SANTE,PROTECTION,DIY,MASQUE_I3D,INDIVIDU,ANON,https://www.thingiverse.com/thing:4185367?fbclid=IwAR0r9Qd7JXxdsZBqOWiO45P9EO6G3LG5N-q8uoqiJa22LbZpd1gNrzwJ_6E,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2012.32.01.png,,,,en,CG,NR,,OUI,
29,face mask,-,SANTE,PROTECTION,DIY,MASQUE_I3D,ENTREPRISE,Cetus3D.,https://www.dropbox.com/s/ndal4gh8ufhmowi/face%20mask.zip?dl=0&fbclid=IwAR09ZAGiTbHyFirlyB_rBANkP19P2C7w6Tr0Ljk08La8sJs2pR8NmY7h_Q8,-,-,-,-,-,-,NA,NA,NA,NA,https://www.3dnatives.com/wp-content/uploads/masque_cover.jpg,masque : en lien avec la boucle en dessous ,,,en,CG,NR,,NON,
30,Mask buckle,-,SANTE,PROTECTION,DIY,MASQUE_I3D/ACCESSOIRE,ENTREPRISE,Cetus3D.,https://www.dropbox.com/s/cqcvuqf3vk510a3/Mask%20buckle.zip?dl=0&fbclid=IwAR2QguGLA7xJreqDOmBLEVH-88H-zhf-NIycpraaxEW_9rCkAEI4W12NONc,-,-,-,-,-,-,NA,NA,NA,NA,,accessoire masque : en lien avec le masque au dessus ,,,en,CG,NR,,NON,
31,EVA Covid Coronavirus Face Mask,-,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4223817?fbclid=IwAR2W7DFx-nmwaS_1QY3a6Ey0fz6boiVNsGeS7vJ3ZFg_0Lb_4zhG4hitGfc,-,-,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2012.37.04.png,,,,en,CG,NR,,OUI,
