💎 Titre,🏡 Organisation concernée,🎨 Compétences concernées (il n'est pas nécessaire de toutes les avoir !),💥 Engagement minimal demandé,📐 Détails,🖐 J'AGIS
✅ Mission accomplie | Un hackathon en ligne du gouvernement allemand,Wir vs Virus,"Développement tech - plutôt dev,Développement tech - plutôt data","Ponctuel, à un horaire précis",WirVsVirus - Der Hackathon der Bundesregierung - Corona / Covid-19,👉 https://wirvsvirushackathon.org/ 
💪 Mission disponible | Être bénévole pendant l'épidémie du coronavirus Covid-19,Tous Bénévoles,"Aucune compétence numérique nécessaire,Compétences numériques de base,Création de contenus","Ponctuel, à la demande","En cette période particulière de crise sanitaire liée à la propagation du Covid-19, vous pouvez continuer à agir, notamment grâce aux missions de bénévolat à distance :
- écoute par téléphone pour les personnes isolées, telles que les personnes âgées
- nouvelles technologies : webmaster, graphiste, community manager- former à distance des personnes âgées, des personnes en situation de handicap, des détenus
- aide à l'insertion professionnelle
- juriste, recherche de fonds et de partenariats, traduction",👉 https://www.tousbenevoles.org/operations/benevoles-pendant-epidemie-coronavirus-covid-19
💪 Mission disponible | Lutter contre l'isolement social des personnes âgées,Nos Vieux,Aucune compétence numérique nécessaire,"Ponctuel, à la demande",Tu veux agir pour nos aînés mais ne sais pas encore comment ? Cette boite à idées est faite pour toi ! N'oublie pas de bien respecter les consignes en vigueur.,👉 https://nosvieux.org/
💪 Mission disponible | Mettre à jour une application existante pour faciliter l'entraide de courses.,Courseur,"Développement tech - plutôt dev,Compréhension de besoin et conception produit",Récurrent // voir 📐 Détails,"Courseur est une application pour faciliter l'entraide pour faire ses courses. 

Message du fondateur :
""Salut les amis. Avec Courseur, nous avons malheureusement mis de côté la partie entraide de courses il y a 6 mois, pour développer une offre pro auprès des services à la personne et gagner un peu notre vie. Aujourd'hui, j'ai plein de copains qui me disent ""Courseur, c'est génial, les gens s'organisent et limitent leurs déplacements"". Oui, c'est pour ça que je l'ai créé. Je suis tellement dégouté de pas avoir les moyens de la remettre à jour car ça ne serait pas si long. Donc si vous connaissez des devs en Front qui font du VUE.JS et en back qui font du Ruby on Rails qui veulent bien nous aider je suis super chaud. L'appli est gratuite, sans pub, c'est de l'entraide non rémunérée (pour ne pas ubériser). Pas de revente de données. Rien. Certains me connaissent, c'est pas mon genre, je suis plutôt du genre à donner trop de mon temps pour l'intérêt général. Là, c'est la première fois que je demande un coup de main. Merci à ceux qui pourront et voudront bien m'aider. Je serai reconnaissant, je vous le garantis""","👉 Si vous êtes développeur.se et que vous maîtrisez VueJS ou Ruby on Rails, contactez Sébastien : sebastien@courseur.com // 06 51 90 48 16
👉 https://courseur.com"
💪 Mission disponible | Améliorer une application de suivi des cas non-confirmés (données anonymes & publiques),Symptoms Tracker,"Développement tech - plutôt dev,Compréhension de besoin et conception produit","Ponctuel, à la demande","Il s'agit d'une application pour collecter de l'information destinée à suivre l'évolution de l'état de santé des populations confinées.

Les données collectées sont anonymes et publiques.
Elles doivent servir à :
- détecter les nouveaux foyers d'infection avant qu'ils engorgent les services médicaux
- prédire avec plus de précision les arrivées dans les services de soin
- mieux évaluer le nombre de cas réels.

Toutes celles et ceux qui voudraient participer peuvent me contacter. J'ai notamment besoin d'aide pour :
- peaufiner l'expérience utilisateur (quelles questions manquent ?)
- configurer un cloud où je pourrai mettre un dump régulier de la base
- challenger la stack de production (pour l'instant, un client serverless et un lambda déployés avec Zeit Now, une base Postgres gracieusement prêtée par Scalingo avec deux noeuds, 2Go RAM chacun, 20Go SSD)
- rendre le site accessible pour d'autres pays (traduction + gestion des codes postaux)

NB : Les questions suivent au maximum le questionnaire produit par le ministère, sans entrer dans tous les détails : https://esante.gouv.fr/sites/default/files/media_entity/documents/200320_Algorithme_Orientation.pdf ","👉 Consulter et diffuser le site : https://symptoms-tracker.now.sh/
👉 Contribuer directement sur le repo : https://github.com/alexisthual/symptoms-tracker, ou en contactant Alexis"
💪 Mission disponible | Fabriquer en masse des respirateurs de fortune,MUR-project.org,Développement tech - plutôt 3D/hardware,"Ponctuel, à la demande"," Aujourd’hui, le monde médical manque de respirateurs pour pouvoir travailler convenablement et sauver le maximum de vies.
 
Depuis le lundi 16 mars, nous - le Club Sandwich Studio - nous sommes attelés à la création d’un dispositif de respiration artificielle d’urgence, peu onéreux et facilement reproductible. Nous l’avons conçu à partir du minimum de matériel possible et en favorisant l’utilisation de composants accessibles au plus grand nombre.
 
Aujourd’hui, après avoir réalisé différents tests et présenté des résultats validés par plusieurs médecins réanimateur·ice·s, notre dispositif est prêt à être éprouvé.
Nous entamons désormais une phase de test sur banc d'essai avec la collaboration de l'AP-HP.
 
Aussi, pour faire face ensemble à cette crise sanitaire, nous mettons à disposition sur ce site la première version prototype du MUR (conçue à partir du matériel dont nous disposions dans notre studio/atelier au jour du confinement).
Enfin, cette V0 n’étant pas encore optimale, nous espérons que cet appel à contribution nous permettra de trouver plus facilement le matériel et les compétences qui nous manquent.
 
Cette V0 est notre première pierre à l’édifice.","👉 Consulter le site du projet : https://www.mur-project.org/
👉 Proposer son aide : https://framaforms.org/mur-project-proposition-daide-1584627025/"
"💪 Mission disponible | Combattre les inégalités scolaires renforcées avec le confinement, soutenir les lycéens qui en ont le plus besoin",Article 1 & la Fage,Aucune compétence numérique nécessaire,"Ponctuel, à la demande","Le Coronavirus a conduit des millions de lycéen.ne.s à suivre leur scolarité depuis chez eux. 
Pour certain.e.s, issu.e.s de milieux défavorisés, travailler de chez soi est difficile. 
Et pendant ce temps-là, les examens approchent ! 
Plus que d’autres, ils et elles ont besoin de ton aide pour rester à la page et se préparer. 
Par téléphone ou via Internet, tu pourras les aider à suivre les cours envoyés par leurs enseignants, à rester assidu.e.s et à continuer leurs apprentissages. Selon leurs besoins, tu leur partageras tes conseils et tes connaissances.

Toi aussi, tu peux changer les choses et les aider à relever ce défi ! ",👉 https://docs.google.com/forms/d/e/1FAIpQLSc8MvY9GKUAYh6CpfMhRhtqqEOoDra00JYBk7crv2rLQzsXpQ/viewform
"💪 Mission disponible | Tous confinés, tous engagés : pour aider des associations depuis son salon !",Vendredi,Aucune compétence numérique nécessaire,"Ponctuel, à la demande","Mobiliser son entreprise pour l’intérêt général n’a jamais été aussi important  !

Durant la crise Covid-19, il y a 2 façons d’être utile :

- Sur le terrainVos collaborateurs répondent à l’appel du gouvernement.
Ces missions se réalisent dans des conditions de sécurité encadrées par le Ministère de la Santé.

- En télétravail
Vos collaborateurs réalisent des missions de compétences au bénéfice d’associations d’intérêt général.",👉 https://confines-engages.fr/
💪 Mission disponible | Amélioration continue d'une plateforme d'échange entre professionnels de santé,"Arbitryum, La Croix-Rouge française, Le Cercle des Vulnérabilités","Développement tech - plutôt dev,Compréhension de besoin et conception produit","Ponctuel, à la demande","Entraide est une initiative commune d'Arbitryum, du Cercle Vulnérabilité et Société et de la Croix Rouge Française, dans le cadre de la crise Covid-19.

C'est une plateforme collaborative d'échange d'initiatives et de questionnements entre professionnels du secteur sanitaire, de l’âge et du handicap (Hôpitaux, SSR, Ehpad, Résidences autonomie, Résidences services, MAS, FAM, ESAT, SAAD, SSIAD, SPASAD, mais aussi les acteurs bénévoles intervenant au plus proche des personnes vulnérables, etc.)

Face aux enjeux humains et organisationnels liés à la crise en cours, elle vous permet de poser vos questions, d'apporter des réponses ou de poster une initiative qui a été mise en place dans votre structure, le tout de manière anonyme, pour bénéficier du regard croisé de vos pairs grâce à leurs réponses, commentaires et clic « utiles » reçus en retour.

Un seul objectif : faire gagner du temps aux professionnels !

Ce dispositif créé dans l’urgence est un outil qui a vocation à perdurer dans le temps et pour le plus grand nombre en fonction de l'usage qui aura été mesuré et de l'impact social que l'outil aura pu procurer.

Besoins : amélioration continue de la plateforme en fonction des retours utilisateurs, gestion des données, UX design. 

Merci d'avance de votre aide !!!!! ",👉 Contacter stephane.garagnani@arbitryum.fr
💪 Mission disponible | Accompagner à distance les Français dans leurs démarches numériques quotidiennes,Solidarité Numérique ,"Compétences numériques de base,Création de contenus","Ponctuel, à la demande","Vous travaillez dans le web et/ou possédez des compétences numériques de base : alors vous pouvez être ce qu'on appelle un.e ""médiateur.rice numérique"" !",👉 https://solidarite-numerique.fr/rejoignez-nous
💪 Mission disponible | Découvrir le portail bénévolat.fr,"Benenova, France Bénévolat, Latitudes, Passerelles & Compétences, Pro Bono Lab, Tous Bénévoles, WebAssoc",Aucune compétence numérique nécessaire,"Ponctuel, à la demande",Des opportunités de bénévolat très variées selon les associations.,👉 Rendez-vous sur benevolat.fr pour découvrir toutes les missions proposées.
💪 Mission disponible | Challenge Kaggle pour aider la recherche sur le COVID-19,Allen Institute for AI,Développement tech - plutôt data,"Ponctuel, à la demande","An AI challenge with AI2, CZI, MSR, Georgetown, NIH & The White House",👉 Participer au challenge : https://www.kaggle.com/allen-institute-for-ai/CORD-19-research-challenge
💪 Mission disponible | Version en ligne de Hacking Health Camp 2020 pour agir dès maintenant face au Coronavirus,Hacking Health Camp,"Développement tech - plutôt dev,Compréhension de besoin et conception produit","Ponctuel, à la demande","Un tableau des défis - pour lister les problématiques à résoudre remontées du terrain par les soignants.
Découvrez la liste, rejoignez un projet et apportez votre aide.","👉 Voir tous les projets : https://hackcovid.sparkboard.com/projects
👉 Rejoindre le Slack : https://hhcamp2020.slack.com/join/shared_invite/enQtOTU2Mjg4NjY3MjgzLWNlYzMyZGJhM2YzM2U2OThlMzk5MzY3MmNlYjZiYTdjYjE4YTJlMGNkOWQxMDhkNGViZWUwMmJlYTRlM2Q1M2I"
✅ Mission accomplie | Des renforts tech pour l'AP-HP !,AP-HP,"Développement tech - plutôt dev,Développement tech - plutôt data",Récurrent // voir 📐 Détails,"L'AP-HP (Hôpitaux de Paris) a besoin de renfort de volontaires, ils recherchent notamment :
- 3 data scientists avec compétences Spark, Python (si possible expérimentés),
- 1 data engineer expérimenté connaissant les formats de données OMOP et FHIR
- 1 dev fullstack.
Il faut être disponible pendant 2 semaines et pouvoir venir sur place (campus Picpus de l'AP-HP, 33 Bd Picpus, Paris 12e) !",👉 http://volontaire-aphp.fr 
✅ Mission accomplie | Contribuer au dev d'une cartographie des lieux de confinement ouverts aux personnes sans-abri,Solinum / Soliguide,"Développement tech - plutôt dev,Compréhension de besoin et conception produit","Ponctuel, à la demande","Pour répondre à la crise, Soliguide se transforme pour devenir une cartographie en temps réel des structures toujours ouvertes pouvant aider les personnes en grande précarité ! On a besoin de compétences tech, avec un engagement minimal pour nous aider à développer de nouvelles briques technologiques (angular/node.js)",👉 contact@solinum.org
✅ Mission accomplie | Hackathon en ligne les 20-22 mars,Hacklacrise / hackathoncovid19,"Développement tech - plutôt dev,Développement tech - plutôt data,Compréhension de besoin et conception produit","Ponctuel, à un horaire précis","Comment pouvons-nous aider et apporter notre contribution en cette période de crise ?
C’est en réfléchissant à cette question, que Sébastien Morel a lancé un appel à tous les talents de la communauté digitale à s’unir et rejoindre le hackathon Covid-19 (https://www.youtube.com/watch?v=PQRvtr9EkaE )
En seulement 3 jours, le groupe slack bit.ly/slackhacklacrise rassemble plus de 400 personnes, motivées et engagées qui sont déjà au travail pour développer des solutions concrètes. 
A cette heure-ci, une équipe développe une plateforme afin de rassembler toutes les échographies de poumons atteints par le Covid-119 pour permettre aux médecins de ville d’anticiper l’aggravation de la maladie. 
Une autre équipe s’efforce également de développer une application de mise en relation entre proches de soignants et grand public pour répondre aux besoins des soignants complètement débordés par leur travail. 
Désormais, il est l’heure de concrétiser ces projets et d’en développer bien d’autres. 
Unissons nos forces et rejoignez-nous !
De vendredi 20 mars à 19h à dimanche 22 mars à 19h, nous avons décidé d’organiser un véritable hackathon en ligne. ","👉 http://hacklacrise.fr
👉 Rejoindre le Slack : http://bit.ly/slackhacklacrise "
💪 Mission disponible | Soyons présents pour ceux en première ligne,En première ligne,"Aucune compétence numérique nécessaire,Développement tech - plutôt dev","Ponctuel, à la demande","Vous êtes jeune et en bonne santé ?
Aidez un travailleur en première ligne vivant proche de chez vous en gardant un enfant ou en faisant des courses, et engagez-vous dans la lutte contre l’épidémie. ","👉 https://enpremiereligne.fr/
👉 Si vous êtes développeur.se, vous pouvez aussi contribuer au code ouvert : https://github.com/tgalopin/enpremiereligne.fr/issues (c'est du PHP)"
"💪 Mission disponible | COVID19: Développeurs, data scientists – Comment aider ?",bzg.fr,"Développement tech - plutôt dev,Développement tech - plutôt data","Ponctuel, à la demande",Des développeurs et datascientists se mobilisent pour aider dans la lutte contre le COVID19 (Coronavirus.) Cette page vous aide à vous y retrouver.,👉 https://bzg.fr/covid19-developpeurs-datascientistes-comment-aider/
💪 Mission disponible | Soutenir les enseignant·es dans leurs pratiques numériques,Collectif pour la Continuité Pédagogique,"Compétences numériques de base,Création de contenus","Ponctuel, à la demande","Appel à une mobilisation citoyenne pour aider les enseignant.es à se former rapidement aux usages pédagogiques du numérique.

Toute personne qui a un peu de temps à passer avec un.e enseignant.e désireux.se de se former peut se signaler !","👉 https://www.continuitepedagogique.org
👉 https://airtable.com/shr1ysoPrVvqxjaXu "
