titre_initiative,resume_initiative,tag_besoin_niv1_code,tag_besoin_niv2_code,tag_produit_niv1_code,tag_produit_niv2_code,tag_structure_niv1_code,nom_structure,url_initiative,contact_mail,contact_tel,materiel_utilise,machine_utilisee,capacite_production,version,adresse,code_postal,ville,url_illustration,commentaires,source,est_actif,langue,auteur_data,validation,notes_validation,a_publier,date_maj
Basic adult face mask,-,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,,http://antisocialartshow.org/basic-adult-face-mask/?fbclid=IwAR2Z9sx8CwOibzHHCZruqX35PblgpB6eZlYvbQJVnkS6Dt0XDMTP3oRB4Dg,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,,,en ,CG,NR,,OUI,25/03/2020
WHO-recommended Handrub Formulations,-,SANTE,HYGIENE,DIY,GEL,ANONYME,,https://www.who.int/gpsc/5may/Guide_to_Local_Production.pdf,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Gel Hydroalcoolique,,,fr,CG,NR,,OUI,25/03/2020
Gel desinfectant à base d'étanol (français et espagnol),-,SANTE,HYGIENE,DIY,GEL,ANONYME,,https://www.appropedia.org/Gel_desinfectante_a_base_de_etanol,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Gel Hydroalcoolique,,,fr/es,CG,NR,,OUI,25/03/2020
Minimal Universal Respirator,-,SANTE,HOPITAL,DIY/INDUSTRIEL,RESPIRATEUR,ASSO,,https://www.mur-project.org/,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,respirateur,,,fr/en,CG,NR,En cours le 25/03 validation prévue pour la fin de semaine (28 ou 29 Mars),-,25/03/2020
Homemade box UV C for sterilization,-,SANTE,HYGIENE,DIY,STERILISATION,INDIVIDU,,https://www.youtube.com/watch?v=gYwhYv1uIUI,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Boite de stérilisation,,,en,CG,NR,,-,25/03/2020
DIY face mask,,SANTE,PROTECTION,DIY/PRO,MASQUE_TISSU,INDIVIDU,Taiwanese doctor,https://mustsharenews.com/cloth-face-mask/,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Masque en tissu avec ouvereture,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,-,25/03/2020
face mask (Chinese pdf),,SANTE,PROTECTION,DIY,MASQUE_TISSU,-,,https://www.pref.oita.jp/uploaded/attachment/2070448.pdf,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Masque en tissu avec ouvereture,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=1,-,25/03/2020
"Simple Respiratory Mask (Academic publication, 2006)",,SANTE,PROTECTION,DIY/PRO,MASQUE_TISSU,INSTITUTION,Centers of Disease Control and Prevention (US),https://wwwnc.cdc.gov/eid/article/12/6/05-1468_article,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Masque tissu - Article académique de 2006,,,en,CG,NR,Publié il y a + de 10 ans / pas une initiative de maker,-,25/03/2020
DIY Cloth Face Mask,,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,,https://www.instructables.com/id/DIY-Cloth-Face-Mask/,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,25/03/2020
How to make a Face Mask (US),,SANTE,PROTECTION,DIY/PRO,MASQUE_TISSU,INSTITUTION,Deaconess,https://www.deaconess.com/How-to-make-a-Face-Mask,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Tuto d'un hopital dans l'Indiana,,,en,CG,NR,Sur leur page ils precisent bien qu'ils ne peuvent pas respecter les normes habituelles,-,25/03/2020
Reusable DIY Cloth Mask with Disposable Middle Layer Filter,,SANTE,PROTECTION,DIY,MASQUE_TISSU,-,,https://diymask.site/,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Tuto a base d'objets du quotidien,,,en/chi,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,25/03/2020
SEWING INSTRUCTIONS FOR THE FACE MASK PATTERN - Belgium Public Health,,PROTECTION,PROTECTION,DIY,MASQUE_TISSU,INSTITUTION,Belgium Public Health,https://makefacemasks.com/,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_1.png?raw=true,guidelines en belgique,,,en,CG,-,Approved by the FPS Public Health,OUI,25/03/2020
Mask COVID-19 - 3D printed,,SANTE,PROTECTION,DIY,MASQUE,-,,https://www.thingiverse.com/thing:3186997,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,etrange,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,25/03/2020
Free mask pattern and instructions!,,SANTE,PROTECTION,DIY,MASQUE_TISSU,-,,https://imgur.com/gallery/p517T4h,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,masque tissu ,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=1,OUI,25/03/2020
Face Mask Hook - 3D printed,,SANTE,PROTECTION,DIY,MASQUE/ACCESSOIRE,INDIVIDU,,https://www.thingiverse.com/thing:4225191,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,"Accessoire, attache de masque en i3D",,,en/chi,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=2,OUI,25/03/2020
3D Printable Air Tight Filter Mask (Experimental),,SANTE,PROTECTION,DIY,MASQUE,-,,https://hackaday.io/project/170487-3d-printable-air-tight-filter-mask-experimental,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,forme originale,,,fr,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=3,OUI,25/03/2020
Masque thermoformé prototype,,SANTE,PROTECTION,DIY,MASQUE,INDIVIDU,,https://www.thingiverse.com/thing:4231076,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,il annonce thermoformé mais aussi I3D,,,fr,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=4,OUI,25/03/2020
FACE MASK PATTERN,,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,,https://hellosewing.com/face-mask-sewing-pattern/,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=5,OUI,25/03/2020
Sewing Fabric Face Masks,,SANTE,PROTECTION,DIY/PRO,MASQUE_TISSU,INSTITUTION,Unity Point Health (USA),https://www.unitypoint.org/cedarrapids/sewing-surgical-masks.aspx,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,diffusé par  un centre hospitalier au USA,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=6,OUI,25/03/2020
Vaccum formed sealed mask,,SANTE,PROTECTION,DIY,MASQUE,INDIVIDU,,https://www.thingiverse.com/thing:4234487,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Forme originale : Vaccum formed et 3D printed ,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=7,OUI,25/03/2020
(Adaptador Mascara decathlon- Filtro) Adaptateur de masque Decathlon - Filtre,,SANTE,PROTECTION,DIY,MASQUE/ACCESSOIRE,INDIVIDU,,https://www.thingiverse.com/thing:4227369,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Accessoire pour adapter les masques décathlon - prototype,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=8,OUI,25/03/2020
Thermoformed mask,,SANTE,PROTECTION,DIY,,-,,https://www.thingiverse.com/thing:4234658,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,proto!!,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=9,OUI,25/03/2020
Mold for DIY Protective Face Mask - 3D Printed form for making paper pulp masks,,SANTE,PROTECTION,DIY,MASQUE/ACCESSOIRE,-,,https://www.instructables.com/id/DIY-Protective-Face-Mask/,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,moule pour masque en papier maché,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=10,OUI,25/03/2020
DIY mask for basic protection from corona,,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,,https://www.youtube.com/watch?v=oLEE8RcyYo8,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,vidéo youtube de pliage,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=11,OUI,25/03/2020
Face Mask Sewing Pattern,,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,,https://www.craftpassion.com/wp-json/mv-create/v1/creations/19/print,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,masque en tissu,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=12,OUI,25/03/2020
A.B. Mask - for a Nurse by a Nurse,,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,nurse,https://www.instructables.com/id/AB-Mask-for-a-Nurse-by-a-Nurse/,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,masque par une infirmière,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=13,OUI,25/03/2020
MY FACE MASK: Masque avec filtre interchangeable,,SANTE,PROTECTION,DIY,MASQUE,ENTREPRISE,WASP 3D Printers,https://www.3dwasp.com/mascherina-stampata-3d-da-scansione-3d/?fbclid=IwAR2a7v_y6ly8GL_ghWONz9M68LNunH3YVz77F0wkIo_SmvZKoWUgNNHCnCM,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,3D printed avec filtre remplaçable,,,fr/it/en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=14,OUI,25/03/2020
How to make masks out of vacuum bags,,,,DIY,MASQUE_TISSU,INDIVIDU,,https://www.youtube.com/watch?v=-fBWTDoa7x4,,,-,-,-,-,NA,NA,NA,,Tuto video masque en tissu,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=15,OUI,25/03/2021
Comme à la maison,liste de ressources gratuites,LOISIRS,HELP,APP,,INDIVIDU,,http://comme-a-la-maison.herokuapp.com/,,,-,-,-,-,NA,NA,NA,,-,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_9.png?raw=true,oui,fr,JPy,NR,,OUI,24/03/2020
Continuité pédagogique,Une communauté de citoyen·nes qui soutiennent les enseignant·es dans leurs pratiques numériques pour assurer (au mieux) la continuité pédagogique durant l’épidémie du coronavirus en France. ,EDUCATION,HELP,APP,,INSTITUTION,,https://www.continuitepedagogique.org/,,,-,-,-,-,NA,NA,NA,,-,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_5.png?raw=true,oui,fr,JPy,NR,,OUI,24/03/2020
Listing Latitudes,liste des initiatives recensées par Latitudes,INFOS,HELP,APP,,ASSO,,https://www.latitudes.cc/covid19,,,-,-,-,-,NA,NA,NA,,-,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_8.png?raw=true,oui,fr,JPy,NR,,OUI,24/03/2020
En première ligne,Réseau d'entraide dans la lutte contre l'épidémie de Covid-19. ,SANTE,HELP,APP,,INSTITUTION,,https://enpremiereligne.fr,,,-,-,-,-,NA,NA,NA,,-,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,oui,fr,JPy,NR,,OUI,24/03/2020
Veille coronavirus,carto évolution des cas,DATA,CARTO,APP,CARTO,INDIVIDU,,https://veille-coronavirus.fr/,,,-,-,-,-,NA,NA,NA,,-,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_4.png?raw=true,oui,fr,JPy,NR,,OUI,24/03/2020
Visière V6b - Shields - visieresolidaire ,Shields - visieresolidaire - antony,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,,,,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,en 0.28 plusieur encoche sont trop épaisse et rien ne passe dedans,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,,NR,,OUI,25/03/2020
visière V8B,Shields - visieresolidaire - antony,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.facebook.com/groups/2454266324886624/permalink/2455279604785296/,,,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,,NR,,OUI,25/03/2020
NewShield: Visière anti-Eclaboussures (COVID19) ,NewShield,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.myminifactory.com/object/3d-print-115185,,,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,,NR,,OUI,25/03/2020
Visière Prusa - Version de base,Prusa,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.prusaprinters.org/prints/25857-prusa-protective-face-shield-rc2,,,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,,NR,,OUI,25/03/2020
Visière Prusa - Version allégée,Prusa,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.prusaprinters.org/prints/26568-protection-allegee,,,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,,NR,,OUI,25/03/2020
"Visière Prusa - Remix -""#resistancecovid""",Prusa (Remix),SANTE,PROTECTION,DIY,VISIERE,GROUPE,,"
https://www.prusaprinters.org/prints/26427-prusa-protective-face-shield-rc1-rc2-remix-rc3-eas",,,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Lien vers le projet référent: https://twitter.com/Resistancecovid,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,,NR,,OUI,25/03/2020
COVID19 - Shield,??,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://drive.google.com/drive/folders/11ohHpWR_evKaOa5Mu7DbwEtMyPsvDQmj,,,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,,NR,,OUI,25/03/2020
Protective Visor by 3DVerkstan,3DVerkstan,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.youmagine.com/designs/protective-visor-by-3dverkstan,,,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,The 3MF file shows how you can put 3 of these on a single Ultimaker S5 print bed and print them in 21 minutes per piece with a 0.8 mm nozzle.,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,,NR,,OUI,25/03/2020
modele espagnol (https://t.me/CV19_Visera40),Makers Coronavirus - Visera,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://t.me/CV19_Visera40/68,,,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,"validée par Unitat Bàsica de Prevenció
de l'institut Català de la Salut",https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,,NR,,OUI,25/03/2020
Modèle des Hackers del Levante (Alméria),Makers Coronavirus - Visera,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://drive.google.com/file/d/1mzDPmQvyB8QjJmmPsuhVFUfwopEfTTS1/view,,,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,https://levante.ideal.es/actualidad/makers-levante-imprimen-20200323180813-nt.html,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,,NR,,OUI,25/03/2020
3D printed COVID-19 Face Shield Mask - Manual for makers (blackbelt),,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.linkedin.com/pulse/3d-printed-covid-19-face-shield-mask-manual-makers-sch%C3%BCrmann/,,,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Prusa MK3 PLA reglage : 0.30 DRAFT,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,,NR,,OUI,25/03/2020
Visiere de protection,Visiere de protection -,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.thingiverse.com/thing:4238117,,,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,,NR,,OUI,25/03/2020
Visière avec les moyens du bord,,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,,,,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,,,NR,,OUI,25/03/2020
Prusa Face Shield,"Système de visière en PET afin de protéger des protections (attention, ne remplace pas le masque, mais plutôt en complément)",SANTE,PROTECTION,DIY,-,GROUPE,,https://www.prusaprinters.org/prints/25857-prusa-protective-face-shield-rc2,,,PETG,,,,,,,,"Supports are not necessary.
Print with at least 3 perimeters, about 30% infill.

Epaisseur de couche : 0.25 mm

Diamètre de la tête : 0.4 mm

Poids : 105 g

Ideally, print it from PETG",https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,Vérifié auprès du Ministère de la santé tchèque,OUI,25/03/2020
Prusa RC2 sans trous,Visière de protection,SANTE,PROTECTION,DIY,-,GROUPE,,,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,,OUI,25/03/2020
Stratasys Face Shield,Visière de protection,SANTE,PROTECTION,DIY,-,GROUPE,,https://go.stratasys.com/lp-face-shield.html,,,PLA,,,,,,,,Pas de matériau de support,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,,OUI,25/03/2020
face shield,Visière de protection,SANTE,PROTECTION,DIY,-,GROUPE,,,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,,OUI,25/03/2020
Charlotte Valve / Dave Valve,2 connecteurs imprimés en 3D par FDM pour transformer un masque de plongée Decathlon (modèle EasyBreath) en respirateur non-intrusif,SANTE,PROTECTION,DIY,-,GROUPE,,https://www.isinnova.it/easy-covid19-eng/,,,PLA,,,,,,,,"PLA filament 1.75 mm

Nozzle temperature: 205 – 210 ° C

Builtplate temperature: 35-50 ° C

Layer thickness: 0.2 mm

Supports: only touching the builtplate.

Orientation: Charlotte leaning on the terminal plane (as shown in the images), Dave leaning on the larger diameter vertically.",https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,Testée au Chiari Hospital (Italie). 500 patients équipés,OUI,25/03/2020
Door Opener,Permet d'ouvrir tout type de porte sans contact avec les mains,SANTE,PROTECTION,DIY,-,GROUPE,,,,,"PLA, PETG, PA12",,,,,,,,"épaisseur de coque 1,2mm ; remplissage 20%",https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,,OUI,25/03/2020
"Respirateur
Open Source",Projet Open source (+300 contributeurs) pour la création d'un dispositif d'assistance respiratoire,SANTE,PROTECTION,DIY,-,GROUPE,,"https://techcrunch.com/2020/03/19/open-source-project-spins-up-3d-printed-ventilator-validation-prototype-in-just-one-week/?guccounter=1

",,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,,OUI,25/03/2020
Support pour poignée de porte à main libre,Une pièce à installer sur les poignées de portes pours les ouvrir sans les toucher avec les mains,SANTE,PROTECTION,DIY,-,GROUPE,,https://www.materialise.com/en/hands-free-door-opener?elqTrackId=20b7e0f7116d499a97ad8f3b66dabb8b&elqaid=4271&elqat=2,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,,OUI,25/03/2020
Mask Adjuster,Ajusteur pour serrage de masques,SANTE,PROTECTION,DIY,-,GROUPE,,,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,,OUI,25/03/2020
Sur-poignée de porte ,Handle circular bar diameter from 38 to 44 mm,SANTE,PROTECTION,DIY,-,GROUPE,,https://www.thingiverse.com/thing:4232342,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,,OUI,25/03/2020
Sur-poignée de porte ,"L-handle diameter 19 mm,
No screws needed,",SANTE,PROTECTION,DIY,-,GROUPE,,https://www.thingiverse.com/thing:4232365 ,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,,OUI,25/03/2020
"Respirateur
Open Source",,SANTE,PROTECTION,DIY,-,GROUPE,,https://www.ventilaid.org/ ,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,,OUI,25/03/2020
"Respirateur
Open Source",,SANTE,PROTECTION,DIY,-,GROUPE,,https://github.com/jcl5m1/ventilator,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,,OUI,25/03/2020
"Respirateur
Open Source",,SANTE,PROTECTION,DIY,-,GROUPE,,https://docs.google.com/document/d/1FNPwrQjB1qW1330s5-S_-VB0vDHajMWKieJRjINCNeE/mobilebasic,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,,OUI,25/03/2020
