Bonne pratique,Organisation,Contacts et sources,Où agir ?,A quoi ca sert ?,Visuel d'appel à contribution,Dans une ville / région en particulier ?
"Kit Voisins Solidaires: Mettre un panneau dans son hall d'entrée proposant des services (parler au téléphone, faire des blagues, porter le courrier, faire les courses (bien préciser ""en respectant toutes les consignes de sécurité)) ",VOISINS SOLIDAIRES,https://voisinssolidaires.fr/?fbclid=IwAR0x-jhMCNTVZnKx9NC0rScl7EoymKmc1lk2t7un9evbZr82ohf-Di0Hr9s%2A,Aux alentours de chez soi,Lutter contre l'isolement,,
Mettre des affiches pour entraide entre voisins,ENTRAIDECOVID,"www.entraidecovid19.fr
Isabelle Huynh
contact@entraidecovid19.fr",Aux alentours de chez soi,Lutter contre l'isolement,Affiche_A4_V1.1.jpg (https://dl.airtable.com/.attachments/e3386d89bd8f8da80c6195cb96e9dc07/19e14782/Affiche_A4_V1.1.jpg),
"Ecrire à des détenu-es (parce qu'inévitablement, les visites et les ateliers vont devoir être suspendus)",CHAMPS LIBRE,"CHAMPS LIBRE 
mailien.nguyenduy@gmail.com / Champ libre va lancer une vague pour les détenus dont on a le contact
ou alors : https://www.courrierdebovet.org",Depuis chez soi,Lutter contre l'isolement,,
Parlapapi: Envoyer des nouvelles aux grands parents,PARLAPAPI,https://parlapapi.com/products/oui-au-confinement-non-a-lisolement,Depuis chez soi,Lutter contre l'isolement,,
Le défi FEEL GOOD de l'association Kabubu,KABUBU,"Défis et tutos sportifs pour rester actifs et partager ses exploits !

Ici le groupe WhatsApp dédié : 
https://chat.whatsapp.com/JDArdVyOdJa8KzBbcxBCcI

Et premier défi : https://www.facebook.com/kabubu.org/videos/1510338655797735/",Depuis chez soi,Lutter contre l'isolement,,
Hotline contre les violence conguguales 3919,3919,https://www.francebleu.fr/infos/faits-divers-justice/le-confinement-un-danger-supplementaire-pour-les-femmes-victimes-de-violences-1584453862?fbclid=IwAR0k9tG39DxKp8wPFp0SHeu-GCj2i8LOaAraxsDwCsVM3L7NuYrg73p09aA,Depuis chez soi,Lutter contre l'isolement,,
Autorisation de sorties en plusieurs langues,BAAM,https://baamasso.org/fr/baam-fr/,Depuis chez soi,Lutter contre l'isolement,,
Caisses de solidarité TRANS,HELLO ASSO,https://www.helloasso.com/associations/acceptess-t/formulaires/2,Depuis chez soi,Lutter contre l'isolement,,
"L'association Polyvalence lance une initiative pour aider à financer - entre autres - le ravitaillement des personnes qui se retrouvent isolées (en quarantaine) chez elles, afin d'éviter qu'elles ne sortent de chez elles",POLYVALENCE,https://www.lepotsolidaire.fr/pot/706mdhg5?fbclid=IwAR03D-l7L69ryQX0LFOJvlEa2Jf4Yfu8FJSrch1vP4i2CAz2cGx3bvd8vkI,Depuis chez soi,Lutter contre l'isolement,,
Solid'écoute: Ligne téléphonique à destination des plus de 50 ans dans la solitude,LES PETITS FRERES DES PAUVRES,https://www.petitsfreresdespauvres.fr/nos-actions/apporter-une-presence/ecoute-anonyme?fbclid=IwAR0uMt1k86jJMRPCD_acBOeojsEqHYzsbqmNfMloH2zZ5D-k5NbnDyCDfxE,Depuis chez soi,Lutter contre l'isolement,,
Notre commune a créé Un groupe facebook super local pour échanger besoins/infos etc... ,RISE UP,landysauvage@riseup.net,Depuis chez soi,Lutter contre l'isolement,,
S'inscrire à la communauté d'entraide de Act Up (solidarité pour les personnes vulnérables),ACT-UP,https://docs.google.com/forms/d/e/1FAIpQLSdIp6mdAC-C4Gi8D2izke9MSxVWQ405GdWI1pxpGS9qK7brZg/viewform,Depuis chez soi,Lutter contre l'isolement,,
S'inscrire à la communauté Astroliens,ASTROLIENS,https://docs.google.com/spreadsheets/d/1LZGvjhYjwI03MPPdwuEknog4Sz-4q7woQUqySoIrhBY/edit,Depuis chez soi,Lutter contre l'isolement,,
Solidarités LGBT,KOMITID,https://www.komitid.fr/2020/03/18/comment-la-communaute-lgbt-cree-de-nouvelles-solidarites-face-au-covid-19/,Depuis chez soi,Lutter contre l'isolement,,
Participer à des temps créateurs de liens ,SINGA ,https://singa.io/fr/Paris/evenements,Depuis chez soi,Lutter contre l'isolement,,
Écrire un mot à ses voisins,ROBIN SHAN,https://m.facebook.com/story.php?story_fbid=215870486491712&id=112126346866127 ,Depuis chez soi,Lutter contre l'isolement,,
Soutenir les femmes victimes de violence ,NOUS TOUTES,https://formdivers.typeform.com/to/MHyPOl?fbclid=IwAR0xGWQN_700H9wd6y9OnvBzKrNnvxmYBeO-EciAM8ayLGWo--EG7DIY9us,Depuis chez soi,Lutter contre l'isolement,,Non
Ecrire des lettres aux personnes isolées en EPHAD,1 LETTRE 1 SOURIRE,https://1lettre1sourire.org/,Depuis chez soi,Lutter contre l'isolement,,
"Joignez un proche en visio, en un clic, depuis tout appareil. Sans inscription et gratuit",HACKING HEALTH CAMP,instantvisio.com,Depuis chez soi,Lutter contre l'isolement,,
,,,,Lutter contre l'isolement,,
Faire du lien entre exilés et locaux - Défis et rendez-vous quotidiens + binômes de conversation,JRS France,https://www.facebook.com/JRS-Jeunes-PARIS-170795386756329/ ou pauline.blain@jrsfrance.org,Depuis chez soi,Lutter contre l'isolement,,
"À cause de la période de confinement, et suite à la décision prise concernant le Baccalauréat, le contexte est angoissant pour les jeunes. Pour y remédier, nous proposons aux collégiens de 3ème et aux lycéens de découvrir notre accompagnement personnalisé pour construire avec eu leur Parcours d'Avenir. Par le biais de rendez-vous en tête à tête par les plateformes de communication, nous leur proposons un bilan de compétences. Ensuite nous les invitons à s'inscrire à des ateliers divers pour acquérir des compétences. Enfin nous les mettons en relations avec des jeunes porteurs de projets pour participer à la construction d'une initiative éthique, durable et inclusive.",HuB D&C,"https://www.facebook.com/HuBDC.eu
contact@hubdc.eu
Juan-Victor GILARD-POURTAL",Depuis chez soi,Lutter contre l'isolement,Baniere.png (https://dl.airtable.com/.attachments/7880e75c0949578039f8a129e8101af1/c1baedb4/Baniere.png),Grand-Est
Aider les soignants et personnels de soin,EN PREMIERE LIGNE,https://enpremiereligne.fr,Aux alentours de chez soi,Aider les professionnels de santé,,
Imprimer des masques,MAKERY,https://www.a3dm-magazine.fr/news/medical/urgent-sos-masques-imprimes-3d?fbclid=IwAR0DYivRqp_uX1oLOw3WPTcmwjAnmubA-68jcvTGm8mObVXncMxiySRLXTY,Aux alentours de chez soi,Aider les professionnels de santé,,
Aller donner son sang,EFS,https://spreadsense.makesense.org/programmation-makesense-tv/,Aux alentours de chez soi,Aider les professionnels de santé,,
Conçevoir une assistance respiratoire Low Tech,PROJECT OPEN AIR,https://www.projectopenair.org/,Depuis chez soi,Aider les professionnels de santé,,
Coudre des masques,ATTIKA / ASSOS LOCALES,"https://www.cnews.fr/france/2020-03-18/le-chu-de-grenoble-montre-son-personnel-comment-fabriquer-ses-propres-masques

https://www.youtube.com/watch?v=1748ttJEP-I&feature=youtu.be&fbclid=IwAR3V-sH277UhtYb4ZjW9QplRI-1M6a-3UPZTJvbzBtL1zYJAiW7pX_9eUgI

Attika Trabelsi: 07.66.87.15.00

https://www.facebook.com/groups/234851864300428/",Depuis chez soi,Aider les professionnels de santé,,
Hackathon citoyen,HACK LA CRISE,http://www.hacklacrise.fr/?fbclid=IwAR0IVRDJaooRehD7Igwrgu2BwL3Pr8BCNnIxI69-OAFwqTp8_NtOABnnK2k,Depuis chez soi,Aider les professionnels de santé,HACK LA CRISE (2).png (https://dl.airtable.com/.attachments/2c2e1df5a37e3fa8f3ff75090d95d082/9398272f/HACKLACRISE2.png),France entière
Journal de bord du quotidien d'infirmières pendant l'épidémie de coronavirus,CHRONIQUES INFIRMIERES,https://www.chroniquesinfirmierescovid.com/,Depuis chez soi,Aider les professionnels de santé,,
Suivre les besoins dans un groupe de soutien,FACEBOOK,"Paris https://www.facebook.com/groups/1338154213038535/?notif_id=1585086094440065&notif_t=group_newly_joined_onboarding

France entière https://www.facebook.com/groups/846596275751712/",Aux alentours de chez soi,Aider les professionnels de santé,,
Fabriquer des masques (mise en relation couturier.e.s & soignants),COUTURIERES SOLIDAIRES,https://www.facebook.com/search/top/?q=couturi%C3%A8res%20solidaires%20de%20france&epa=SEARCH_BOX,Depuis chez soi,Aider les professionnels de santé,,Partout en France
Contribuer à une cagnotte Repas Solidaires,MIIMOSA,https://www.miimosa.com/fr/projects/apportons-ensemble-un-soutien-alimentaire-a-nos-soignants,Depuis chez soi,Aider les professionnels de santé,,
Contribuer aux Paniers Solidaires,KISSKISSBANKBANK,https://www.kisskissbankbank.com/fr/projects/covid-19-les-paniers-solidaires,Depuis chez soi,Aider les professionnels de santé,,
Aider financièrement à la fabrication de masques lavables et réutilisables ,NOYOCO, https://fr.ulule.com/masques-solidaires/,Depuis chez soi,Aider les professionnels de santé,masques-solidaires-3-.Jf0dUwIEkj2f.gif (https://dl.airtable.com/.attachments/3fc9b0b09028104fe7e774d41a67865d/51833a06/masques-solidaires-3-.Jf0dUwIEkj2f.gif),
Restaurer les soignants avec des repas durables,ECOTABLE,https://www.kisskissbankbank.com/fr/projects/restaurons-les-soignants-durablement,Depuis chez soi,Aider les professionnels de santé,,
Récolter de l'argent pour l'OMS à chaque mail envoyé,SCRIBE,https://scribemail.io/covid-19,Depuis chez soi,Aider les professionnels de santé,,
Offrir un soutien alimentaire à nos soignants !,MiiMOSA,https://www.miimosa.com/fr/projects/apportons-ensemble-un-soutien-alimentaire-a-nos-soignants,Depuis chez soi,Aider les professionnels de santé,Repas_Solidaires.png (https://dl.airtable.com/.attachments/b427e2ee5ea45232059c050a6cb569cf/9ef49079/Repas_Solidaires.png),Partout en France
Aide aux soignants ,MEDECING IDF,Medecin d'IDF ,Depuis chez soi,Aider les professionnels de santé,Patron blouse 1_2.pdf (https://dl.airtable.com/.attachments/bedc0e7afa77006a2de54cdb1f58909b/50c6b3d0/Patronblouse1_2.pdf),pour les EPHAD et petits hopitaux 
Repertorie toutes les initiatives autour de la santé,HKIND,https://www.hkind.co/,Depuis chez soi,Aider les professionnels de santé,,
Solution coordonnée de logement et d’aide au transport pour les personnels soignants,KEESEEK & WEVER,https://sahmia.fr/,Depuis chez soi,Aider les professionnels de santé,,
Aider les régulateurs du Samu à optimiser la prise en charge des patients,HACKING HEALTH CAMP,https://regulaid.t-med.fr,Depuis chez soi,Aider les professionnels de santé,,
Application de gestion de la disponibilité des lits en temps réel,HACKING HEALTH CAMP, https://www.innomed360.com,Depuis chez soi,Aider les professionnels de santé,,
Intégrer les équipes de MSF pour lutter contre le COVID,MSF ,https://www.msf.fr/agir/rejoindre-nos-equipes/offres-emploi,Aux alentours de chez soi,Aider les professionnels de santé,,France
Faciliter le dialogue des patients avec les médecins (téléconsultation/15),COVID-QUEST, http://www.covid-quest.com,Depuis chez soi,Aider les professionnels de santé,,
Quelles actions en cas d'exposition potentielle au COVID-19 et présence de symptomes,MINISTERE DE LA SOLIDARITE ET DE LA SANTE,https://maladiecoronavirus.fr/,,Aider les professionnels de santé,,
Référencement des outils numériques COVID-19 dédiés aux professionnels,MINISTERE DE LA SOLIDARITE ET DE LA SANTE,https://sante.fr/covid-numerique-pro,,Aider les professionnels de santé,,
,,,,Aider les professionnels de santé,,
,,,,Aider les professionnels de santé,,
,,,,Aider les professionnels de santé,,
Aider les chiffonniers à l'aide de collecte de nourriture: une population extrêmement précaire aujourd'hui,AMELIOR,assoamelior@gmail.com,Aux alentours de chez soi,Combattre la pauvreté,,
"Recherche des denrées alimentaires (pain, légumes, fruits) + bénévolat sur le site de distribution de repas à La Villette",LA CHORBA,"Usman ISHAQ 
0625736700

Association La Chorba",Aux alentours de chez soi,Combattre la pauvreté,,
Distribution alimentaire à destination des migrants,SOLIDARITE MIGRANTS Wilson,https://www.facebook.com/Solidarité-migrants-Wilson-598228360377940/?__tn__=%2CdKH-R-R&eid=ARBcpT9xvcMU-oFc9w47L2UbMAbzxKvsiKbebl-k_mP9QUqE_6ZZ9OGLhuzMt8OKG2ZuRcX3czpEdIYQ&fref=mentions&hc_location=group,Aux alentours de chez soi,Combattre la pauvreté,,
Contacter votre antenne locale des Restos du Coeur ,RESTOS DU COEUR,https://www.restosducoeur.org/devenir-benevole/?fbclid=IwAR1JBik1Zx69YQq8cC5Uz0J5MQ5QiFlk-iqiFeoxBzBX65f62mHmjYmQE1A,Aux alentours de chez soi,Combattre la pauvreté,,
"Faire des dons de toute sorte (Nourriture, Objets utiles etc.)",GEEV,https://www.geev.com/object?page=1&location=48.862725%2C2.287592&type=donation&distance=50000,Depuis chez soi,Combattre la pauvreté,,
Donner à la fondation abbé Pierre pour les personnes à la rue,FONDATION ABBE PIERRE,https://www.facebook.com/donate/898205530606701/10220922743649033/,Depuis chez soi,Combattre la pauvreté,,
"L'asso Acceptess-T ou directement giovanna.rincon.18 où nombre de personnes transidentitaires se retrouvent dans une situation encore plus précaire que d'habitude, elles ont besoin également de nourriture. ",ACCEPTESS-T,giovanna.rincon.18 (Facebook),Depuis chez soi,Combattre la pauvreté,,
Les Invisibles : aide aux sdf nantais,LES INVISIBLES,https://www.leetchi.com/c/les-invisibles-nantes,Depuis chez soi,Combattre la pauvreté,,Nantes
Faire un don gratuit sur Goodeed.com,GOODEED.COM,"20 secondes de vidéo visionnées = un don gratuit
Et limite à 6 vidéos par jour :)
En ce moment, on peut donner ainsi aux Restos du cœur qui en ont grandement besoin ! 
https://www.goodeed.com/",Depuis chez soi,Combattre la pauvreté,,
Nourrir les sans-abri,AURORE / YES WE CAMP / LES GRANDS VOISINS,https://lesgrandsvoisins.org/2020/03/25/les-actions-solidaires-aux-grands-voisins-pendant-le-confinement,Aux alentours de chez soi,Combattre la pauvreté,,Paris
Collecte et distribution de produits de première nécessité pour les personnes les plus vulnérables - ,GILETS NOIRS: BRIGADE DE SOLIDARITE POPULAIRE,"https://www.facebook.com/BrigadesSolidaritePopulaire
07.53.21.31.42
www.lepotsolidaire.fr/pot/hifhu12s",Aux alentours de chez soi,Combattre la pauvreté,"BSP 2.jpg (https://dl.airtable.com/.attachments/cc28a5ba8a23fe7e2d71e7d2089e48ba/3a84d59a/BSP2.jpg),BSP 1.jpg (https://dl.airtable.com/.attachments/ce696582fc5cf625cb05715d44718570/49433da4/BSP1.jpg)","à Paris, à Genève, dans plusieurs villes de France..."
Faire des repas ou les livrer à vélo aux sans-abris,#POUREUX,"https://www.facebook.com/groups/496633167677402/

https://medium.com/je-suis-chez-moi-et-je-le-reste/je-suis-chez-moi-et-je-le-reste-la-solidarité-e43d0ed524a4

https://vimeo.com/399275414",Depuis chez soi,Combattre la pauvreté,,Dans les grandes villes
Permettre aux enfants défavorisés de suivre leurs cours,BREAK POVERTY,https://breakpoverty.com/urgence-coronavirus-op-10000-ordinateurs/,Depuis chez soi,Combattre la pauvreté,,
Ressortons les marmites pour les plus démunis !,Les ravitailleurs,https://www.lesravitailleurs.org/,Depuis chez soi,Combattre la pauvreté,,
,,,,Combattre la pauvreté,,
,,,,Combattre la pauvreté,,
Les volontaires bénévoles peuvent faire part de leur candidature à l'attention de la Direction Départementale de Cohésion Sociale de l'Hérault,DIRECTION DEPARTEMENTALE DE COHESION SOCIALE DE L'HERAULT,"https://www.francebleu.fr/infos/economie-social/le-prefet-de-l-herault-lance-un-appel-aux-volontaires-pour-maintenir-l-aide-aux-plus-demunis-1584446513?fbclid=IwAR3qj60AWyl0pLC1LsbJWw9bFtoyRFxM2o2ilQlwnBqHpub99zxOXu0vpZ4

04 67 41 72 27 de 10h à 16h.",Aux alentours de chez soi,plateforme d'aide,,
Aide alimentaire et d'urgence / Garde exceptionnelle d'enfants / Lien avec les personnes isolées / Solidarité de proximité,GOUVERNEMENT,https://covid19.reserve-civique.gouv.fr/,Aux alentours de chez soi,plateforme d'aide,,"Partout en France, près de chez soi et depuis chez soi"
Garder vos enfants à mon domicile - Assistante maternelle agréée ,SYLVIE COUBRAY,"Coubray Sylvie 
Sylvie.coubray95@orange.fr ",Aux alentours de chez soi,plateforme d'aide,,Argenteuil
Aider les lycéens à étudier,ARTICLE 1 ET FAGE,http://bit.ly/ReussiteVirale,Depuis chez soi,plateforme d'aide,,
"Des infos sur ce qui reste ouvert, actualisé presque en temps réel, précieux !",SOLIGUIDE,https://soliguide.fr/ ,Depuis chez soi,plateforme d'aide,,
Informaticiens volontaires pour aider les organisations -  Groupe de Soutien en cas de Crise Numérique,GSCN,https://gscn.eu.org/,Depuis chez soi,plateforme d'aide,Logo-GSCN-final.png (https://dl.airtable.com/.attachments/fe5cc11dcec8b59cbca318d601e37b32/aa952da7/Logo-GSCN-final.png),
"Bot créé en coordination avec l’AP-HP et l’Institut Pasteur. En plus de partager toutes les dernières nouvelles sur la pandémie et de répondre aux questions des utilisateurs, l’outil propose un générateur d’attestation de déplacement et une fonctionnalité d’autodiagnostic.",COVIDBOT,https://www.covidbot.fr,Depuis chez soi,plateforme d'aide,,Partout
Action collective Covid-19: Mise en relation entre personnes en demande & proposant de l'aide - Région Sud,CIUS Nice,https://events.ciusante.org/ActionsCOVID-19,Aux alentours de chez soi,plateforme d'aide,,Région SUD
"Partage et entraide pour familles (idées d'activités, soutien...): Groupe Facebook Yumma Solidarité covid:",YUMMA,https://www.facebook.com/groups/248031792882780/?multi_permalinks=264330564586236%2C264327974586495%2C264327244586568%2C264325721253387%2C264321434587149&notif_id=1586160992754778&notif_t=group_activity&ref=notif,Depuis chez soi,plateforme d'aide,,
Plateforme de co-création pour trouver des idées pour 4 défis contre le Covid proposé par le gouvernement,DECATHLON,https://cocreation.decathlon.fr/threads/949/questions/7102,Depuis chez soi,plateforme d'aide,,
Trouvez et contactez les personnes en besoin pour les aider,QUICK HELP,https://quick-help.app/,Depuis chez soi,plateforme d'aide,,
Hackathon en ligne pour trouver des solutions pratique - Covid-19,HACKING HEALTH CAMP,http://hackinghealth.camp,Depuis chez soi,plateforme d'aide,,
Hackathon en ligne de 48h 10-12/04 pour trouver des solutions pour sortir de la crise,HEC / SCIENCE PO/ POLYTECHNIQUE,https://hackingcovid19.fr/,Depuis chez soi,plateforme d'aide,,
,,,,plateforme d'aide,,
PAYEZ MAINTENANT CE QUE VOUS VOUDREZ CONSOMMER APRÈS LE CONFINEMENT  La Grande Bouffe est une initiative permettant aux bars et restaurants d'obtenir tout de suite et GRÂCE À VOUS la trésorerie dont ils ont besoin pour bientôt vous réaccueillir dans les meilleures conditions.  ​  ​Profitez de -10% sur vos prochaines consommations.,Site internet La grande Bouffe,https://www.lagrandebouffe.club/,Depuis chez soi,plateforme d'aide,,"Cela existe à Lille, autre part je ne sais pas?"
Carte collaborative et participative recensant les producteurs du territoire ,LE MARCHÉ VERT,"https://www.facebook.com/vivelemarchevert
https://www.google.com/maps/d/u/0/viewer?mid=1Rd5Tu0dbRoM1elal_Rj6o1DkDG5ghkPn&fbclid=IwAR0GKG5nCksOLljF-qYM1IKdkkaJQUY-qOnLV-w1d8mYfcz_SjpLNtb8LtM&ll=46.78462690961178%2C1.1481502500000715&z=5",Depuis chez soi,aider l'agriculture vivrière responsable,,
Plateforme participative pour vente en ligne de produits paysans,ALIMENTATION GÉNÉRALE,https://alimentation-generale.fr/chronique/dans-lepicerie-dalimentation-generale-artisans-et-producteurs-de-qualite/,Depuis chez soi,aider l'agriculture vivrière responsable,,
Se rendre disponible pour aider les agriculteurs,DES BRAS POUR TON ASSIETTE,https://desbraspourtonassiette.wizi.farm/?fbclid=IwAR3136AFXWLq47zCyNM6KrPQqebkq8BCwwbVbDl8Apd5_M8v6ol6IDkgDwY&utm_source=makesense_events+-+event+participants&utm_campaign=abdbcc555a-EMAIL_CAMPAIGN_2019_10_14_09_59_COPY_01&utm_medium=email&utm_term=0_b9cb4b39b6-abdbcc555a-211144433&mc_cid=abdbcc555a&mc_eid=cff0167b5f,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
"Communiquer, rendre visible les initiatives agricoles en circuit courts (avec une super cartographie !)",CIVAM BIO DU GARD,"https://circuitscourts.gogocarto.fr/annuaire#/carte/@44.063,4.144,11z?cat=all",Depuis chez soi,aider l'agriculture vivrière responsable,,
"Faciliter la prise de commande, l’acheminement des produits alimentaires",AGGLOMERATION (exemple: Le puy en velai),https://territoiresbio.fr/contact/?utm_source=mailpoet&utm_medium=email&utm_campaign=Newsletter+spéciale+Covid19,Depuis chez soi,aider l'agriculture vivrière responsable,,
 Des bâtiments et moyens logistiques publics pour organiser la distribution de denrées alimentaires,TERRITOIRES BIO,https://territoiresbio.fr/contact/?utm_source=mailpoet&utm_medium=email&utm_campaign=Newsletter+spéciale+Covid19,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
Lorsqu’ils sont autorisés par dérogation préfectorale : faciliter le bon déroulement des marchés locaux dans un cadre sanitaire optimal,TERRITOIRES BIO,https://territoiresbio.fr/contact/?utm_source=mailpoet&utm_medium=email&utm_campaign=Newsletter+spéciale+Covid19,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
Aider la distribution alimentaire ,LA RUCHE QUI DIT OUI,https://devenir-benevole.laruchequiditoui.fr/,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,Partout en France
Ouvrir un circuit de distribution alimentaire pour petits agriculteurs,LA RUCHE QUI DIT OUI,support@lrqdo.fr,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,Partout
Manger local à Lyon,BELLE BOUFFE,https://cartecovid19.bellebouffe.com/?fbclid=IwAR25APOM-nRKArULbklbZRA9Vnl9YawUUn94xUBlSdDRhdxV5ZFYxk2BYNA,Aux alentours de chez soi,aider l'agriculture vivrière responsable,carte Lyon.jpg (https://dl.airtable.com/.attachments/9cff7a4444f196cc42dc2022ddd16c15/f6bfad3b/carteLyon.jpg),Lyon
Acheter aux agriculteurs locaux,ACHETER LA SOURCE,https://www.acheteralasource.com/producteurs-en-france/all,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
Acheter aux petits producteurs locaux du Puy de Dome,LA MONTAGNE,https://www.lamontagne.fr/clermont-ferrand-63000/actualites/une-carte-interactive-pour-savoir-ou-on-peut-acheter-des-produits-fermiers-dans-le-puy-de-dome_13771153/,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,Puy de Dome
Trouver des producteurs en PACA,PACA,https://france3-regions.francetvinfo.fr/provence-alpes-cote-d-azur/carte-collaborative-marches-fermes-ruee-vente-directe-retrouvez-producteurs-locaux-pres-vous-1806286.html,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,PACA
Trouver des producteurs en centre Val de Loire,VAL DE LOIRE,https://france3-regions.francetvinfo.fr/centre-val-de-loire/carte-collaborative-marches-fermes-ruee-vente-directe-retrouvez-producteurs-locaux-pres-vous-1806122.html,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,Centre Val de Loire
