Bonne pratique,Organisation,Contacts et sources,Où agir ?,A quoi ca sert ?,Visuel d'appel à contribution,Dans une ville / région en particulier ?
Hotline contre les violence conguguales 3919,3919,https://www.francebleu.fr/infos/faits-divers-justice/le-confinement-un-danger-supplementaire-pour-les-femmes-victimes-de-violences-1584453862?fbclid=IwAR0k9tG39DxKp8wPFp0SHeu-GCj2i8LOaAraxsDwCsVM3L7NuYrg73p09aA,Depuis chez soi,Lutter contre l'isolement,,
Autorisation de sorties en plusieurs langues,BAAM,https://baamasso.org/fr/baam-fr/,Depuis chez soi,Lutter contre l'isolement,,
Caisses de solidarité TRANS,HELLO ASSO,https://www.helloasso.com/associations/acceptess-t/formulaires/2,Depuis chez soi,Lutter contre l'isolement,,
"L'association Polyvalence lance une initiative pour aider à financer - entre autres - le ravitaillement des personnes qui se retrouvent isolées (en quarantaine) chez elles, afin d'éviter qu'elles ne sortent de chez elles",POLYVALENCE,https://www.lepotsolidaire.fr/pot/706mdhg5?fbclid=IwAR03D-l7L69ryQX0LFOJvlEa2Jf4Yfu8FJSrch1vP4i2CAz2cGx3bvd8vkI,Depuis chez soi,Lutter contre l'isolement,,
Solid'écoute: Ligne téléphonique à destination des plus de 50 ans dans la solitude,LES PETITS FRERES DES PAUVRES,https://www.petitsfreresdespauvres.fr/nos-actions/apporter-une-presence/ecoute-anonyme?fbclid=IwAR0uMt1k86jJMRPCD_acBOeojsEqHYzsbqmNfMloH2zZ5D-k5NbnDyCDfxE,Depuis chez soi,Lutter contre l'isolement,,
Notre commune a créé Un groupe facebook super local pour échanger besoins/infos etc... ,RISE UP,landysauvage@riseup.net,Depuis chez soi,Lutter contre l'isolement,,
S'inscrire à la communauté d'entraide de Act Up (solidarité pour les personnes vulnérables),ACT-UP,https://docs.google.com/forms/d/e/1FAIpQLSdIp6mdAC-C4Gi8D2izke9MSxVWQ405GdWI1pxpGS9qK7brZg/viewform,Depuis chez soi,Lutter contre l'isolement,,
S'inscrire à la communauté Astroliens,ASTROLIENS,https://docs.google.com/spreadsheets/d/1LZGvjhYjwI03MPPdwuEknog4Sz-4q7woQUqySoIrhBY/edit,Depuis chez soi,Lutter contre l'isolement,,
Solidarités LGBT,KOMITID,https://www.komitid.fr/2020/03/18/comment-la-communaute-lgbt-cree-de-nouvelles-solidarites-face-au-covid-19/,Depuis chez soi,Lutter contre l'isolement,,
Participer à des temps créateurs de liens ,SINGA ,https://singa.io/fr/Paris/evenements,Depuis chez soi,Lutter contre l'isolement,,
Écrire un mot à ses voisins,ROBIN SHAN,https://m.facebook.com/story.php?story_fbid=215870486491712&id=112126346866127 ,Depuis chez soi,Lutter contre l'isolement,,
Soutenir les femmes victimes de violence ,NOUS TOUTES,https://formdivers.typeform.com/to/MHyPOl?fbclid=IwAR0xGWQN_700H9wd6y9OnvBzKrNnvxmYBeO-EciAM8ayLGWo--EG7DIY9us,Depuis chez soi,Lutter contre l'isolement,,Non
Aider les soignants et personnels de soin,EN PREMIERE LIGNE,https://enpremiereligne.fr,Aux alentours de chez soi,Aider les professionnels de santé,,
Imprimer des masques,MAKERY,https://www.a3dm-magazine.fr/news/medical/urgent-sos-masques-imprimes-3d?fbclid=IwAR0DYivRqp_uX1oLOw3WPTcmwjAnmubA-68jcvTGm8mObVXncMxiySRLXTY,Aux alentours de chez soi,Aider les professionnels de santé,,
Aller donner son sang,EFS,https://spreadsense.makesense.org/programmation-makesense-tv/,Aux alentours de chez soi,Aider les professionnels de santé,,
Conçevoir une assistance respiratoire Low Tech,PROJECT OPEN AIR,https://www.projectopenair.org/,Depuis chez soi,Aider les professionnels de santé,,
Coudre des masques,ATTIKA / ASSOS LOCALES,"https://www.cnews.fr/france/2020-03-18/le-chu-de-grenoble-montre-son-personnel-comment-fabriquer-ses-propres-masques

https://www.youtube.com/watch?v=1748ttJEP-I&feature=youtu.be&fbclid=IwAR3V-sH277UhtYb4ZjW9QplRI-1M6a-3UPZTJvbzBtL1zYJAiW7pX_9eUgI

Attika Trabelsi: 07.66.87.15.00

https://www.facebook.com/groups/234851864300428/",Depuis chez soi,Aider les professionnels de santé,,
Hackathon citoyen,HACK LA CRISE,http://www.hacklacrise.fr/?fbclid=IwAR0IVRDJaooRehD7Igwrgu2BwL3Pr8BCNnIxI69-OAFwqTp8_NtOABnnK2k,Depuis chez soi,Aider les professionnels de santé,HACK LA CRISE (2).png (https://dl.airtable.com/.attachments/2c2e1df5a37e3fa8f3ff75090d95d082/9398272f/HACKLACRISE2.png),France entière
Journal de bord du quotidien d'infirmières pendant l'épidémie de coronavirus,CHRONIQUES INFIRMIERES,https://www.chroniquesinfirmierescovid.com/,Depuis chez soi,Aider les professionnels de santé,,
Suivre les besoins dans un groupe de soutien,FACEBOOK,"Paris https://www.facebook.com/groups/1338154213038535/?notif_id=1585086094440065&notif_t=group_newly_joined_onboarding

France entière https://www.facebook.com/groups/846596275751712/",Aux alentours de chez soi,Aider les professionnels de santé,,
Fabriquer des masques (mise en relation couturier.e.s & soignants),COUTURIERES SOLIDAIRES,https://www.facebook.com/search/top/?q=couturi%C3%A8res%20solidaires%20de%20france&epa=SEARCH_BOX,Depuis chez soi,Aider les professionnels de santé,,Partout en France
Contribuer à une cagnotte Repas Solidaires,MIIMOSA,https://www.miimosa.com/fr/projects/apportons-ensemble-un-soutien-alimentaire-a-nos-soignants,Depuis chez soi,Aider les professionnels de santé,,
Contribuer aux Paniers Solidaires,KISSKISSBANKBANK,https://www.kisskissbankbank.com/fr/projects/covid-19-les-paniers-solidaires,Depuis chez soi,Aider les professionnels de santé,,
Aider financièrement à la fabrication de masques lavables et réutilisables ,NOYOCO, https://fr.ulule.com/masques-solidaires/,Depuis chez soi,Aider les professionnels de santé,masques-solidaires-3-.Jf0dUwIEkj2f.gif (https://dl.airtable.com/.attachments/3fc9b0b09028104fe7e774d41a67865d/51833a06/masques-solidaires-3-.Jf0dUwIEkj2f.gif),
Restaurer les soignants avec des repas durables,ECOTABLE,https://www.kisskissbankbank.com/fr/projects/restaurons-les-soignants-durablement,Depuis chez soi,Aider les professionnels de santé,,
Récolter de l'argent pour l'OMS à chaque mail envoyé,SCRIBE,https://scribemail.io/covid-19,Depuis chez soi,Aider les professionnels de santé,,
Offrir un soutien alimentaire à nos soignants !,MiiMOSA,https://www.miimosa.com/fr/projects/apportons-ensemble-un-soutien-alimentaire-a-nos-soignants,Depuis chez soi,Aider les professionnels de santé,Repas_Solidaires.png (https://dl.airtable.com/.attachments/b427e2ee5ea45232059c050a6cb569cf/9ef49079/Repas_Solidaires.png),Partout en France
Aider les chiffonniers à l'aide de collecte de nourriture: une population extrêmement précaire aujourd'hui,AMELIOR,assoamelior@gmail.com,Aux alentours de chez soi,Combattre la pauvreté,,
"Recherche des denrées alimentaires (pain, légumes, fruits) + bénévolat sur le site de distribution de repas à La Villette",LA CHORBA,"Usman ISHAQ 
0625736700

Association La Chorba",Aux alentours de chez soi,Combattre la pauvreté,,
Distribution alimentaire à destination des migrants,SOLIDARITE MIGRANTS Wilson,https://www.facebook.com/Solidarité-migrants-Wilson-598228360377940/?__tn__=%2CdKH-R-R&eid=ARBcpT9xvcMU-oFc9w47L2UbMAbzxKvsiKbebl-k_mP9QUqE_6ZZ9OGLhuzMt8OKG2ZuRcX3czpEdIYQ&fref=mentions&hc_location=group,Aux alentours de chez soi,Combattre la pauvreté,,
Contacter votre antenne locale des Restos du Coeur ,RESTOS DU COEUR,https://www.restosducoeur.org/devenir-benevole/?fbclid=IwAR1JBik1Zx69YQq8cC5Uz0J5MQ5QiFlk-iqiFeoxBzBX65f62mHmjYmQE1A,Aux alentours de chez soi,Combattre la pauvreté,,
"Faire des dons de toute sorte (Nourriture, Objets utiles etc.)",GEEV,https://www.geev.com/object?page=1&location=48.862725%2C2.287592&type=donation&distance=50000,Depuis chez soi,Combattre la pauvreté,,
Donner à la fondation abbé Pierre pour les personnes à la rue,FONDATION ABBE PIERRE,https://www.facebook.com/donate/898205530606701/10220922743649033/,Depuis chez soi,Combattre la pauvreté,,
"L'asso Acceptess-T ou directement giovanna.rincon.18 où nombre de personnes transidentitaires se retrouvent dans une situation encore plus précaire que d'habitude, elles ont besoin également de nourriture. ",ACCEPTESS-T,giovanna.rincon.18 (Facebook),Depuis chez soi,Combattre la pauvreté,,
Les Invisibles : aide aux sdf nantais,LES INVISIBLES,https://www.leetchi.com/c/les-invisibles-nantes,Depuis chez soi,Combattre la pauvreté,,Nantes
Faire un don gratuit sur Goodeed.com,GOODEED.COM,"20 secondes de vidéo visionnées = un don gratuit
Et limite à 6 vidéos par jour :)
En ce moment, on peut donner ainsi aux Restos du cœur qui en ont grandement besoin ! 
https://www.goodeed.com/",Depuis chez soi,Combattre la pauvreté,,
Nourrir les sans-abri,AURORE / YES WE CAMP / LES GRANDS VOISINS,https://lesgrandsvoisins.org/2020/03/25/les-actions-solidaires-aux-grands-voisins-pendant-le-confinement,Aux alentours de chez soi,Combattre la pauvreté,,Paris
Collecte et distribution de produits de première nécessité pour les personnes les plus vulnérables - ,GILETS NOIRS: BRIGADE DE SOLIDARITE POPULAIRE,"https://www.facebook.com/BrigadesSolidaritePopulaire
07.53.21.31.42
www.lepotsolidaire.fr/pot/hifhu12s",Aux alentours de chez soi,Combattre la pauvreté,"BSP 2.jpg (https://dl.airtable.com/.attachments/cc28a5ba8a23fe7e2d71e7d2089e48ba/3a84d59a/BSP2.jpg),BSP 1.jpg (https://dl.airtable.com/.attachments/ce696582fc5cf625cb05715d44718570/49433da4/BSP1.jpg)","à Paris, à Genève, dans plusieurs villes de France..."
Faire des repas ou les livrer à vélo aux sans-abris,#POUREUX,"https://www.facebook.com/groups/496633167677402/

https://medium.com/je-suis-chez-moi-et-je-le-reste/je-suis-chez-moi-et-je-le-reste-la-solidarité-e43d0ed524a4

https://vimeo.com/399275414",Depuis chez soi,Combattre la pauvreté,,Dans les grandes villes
,,,,Combattre la pauvreté,,
Les volontaires bénévoles peuvent faire part de leur candidature à l'attention de la Direction Départementale de Cohésion Sociale de l'Hérault,DIRECTION DEPARTEMENTALE DE COHESION SOCIALE DE L'HERAULT,"https://www.francebleu.fr/infos/economie-social/le-prefet-de-l-herault-lance-un-appel-aux-volontaires-pour-maintenir-l-aide-aux-plus-demunis-1584446513?fbclid=IwAR3qj60AWyl0pLC1LsbJWw9bFtoyRFxM2o2ilQlwnBqHpub99zxOXu0vpZ4

04 67 41 72 27 de 10h à 16h.",Aux alentours de chez soi,plateforme d'aide,,
Aide alimentaire et d'urgence / Garde exceptionnelle d'enfants / Lien avec les personnes isolées / Solidarité de proximité,GOUVERNEMENT,https://covid19.reserve-civique.gouv.fr/,Aux alentours de chez soi,plateforme d'aide,,"Partout en France, près de chez soi et depuis chez soi"
Garder vos enfants à mon domicile - Assistante maternelle agréée ,SYLVIE COUBRAY,"Coubray Sylvie 
Sylvie.coubray95@orange.fr ",Aux alentours de chez soi,plateforme d'aide,,Argenteuil
Aider les lycéens à étudier,ARTICLE 1 ET FAGE,http://bit.ly/ReussiteVirale,Depuis chez soi,plateforme d'aide,,
"Des infos sur ce qui reste ouvert, actualisé presque en temps réel, précieux !",SOLIGUIDE,https://soliguide.fr/ ,Depuis chez soi,plateforme d'aide,,
Informaticiens volontaires pour aider les organisations -  Groupe de Soutien en cas de Crise Numérique,GSCN,https://gscn.eu.org/,Depuis chez soi,plateforme d'aide,Logo-GSCN-final.png (https://dl.airtable.com/.attachments/fe5cc11dcec8b59cbca318d601e37b32/aa952da7/Logo-GSCN-final.png),
"Bot créé en coordination avec l’AP-HP et l’Institut Pasteur. En plus de partager toutes les dernières nouvelles sur la pandémie et de répondre aux questions des utilisateurs, l’outil propose un générateur d’attestation de déplacement et une fonctionnalité d’autodiagnostic.",COVIDBOT,https://www.covidbot.fr,Depuis chez soi,plateforme d'aide,,Partout
,,,,plateforme d'aide,,
Carte collaborative et participative recensant les producteurs du territoire ,LE MARCHÉ VERT,"https://www.facebook.com/vivelemarchevert
https://www.google.com/maps/d/u/0/viewer?mid=1Rd5Tu0dbRoM1elal_Rj6o1DkDG5ghkPn&fbclid=IwAR0GKG5nCksOLljF-qYM1IKdkkaJQUY-qOnLV-w1d8mYfcz_SjpLNtb8LtM&ll=46.78462690961178%2C1.1481502500000715&z=5",Depuis chez soi,aider l'agriculture vivrière responsable,,
Plateforme participative pour vente en ligne de produits paysans,ALIMENTATION GÉNÉRALE,https://alimentation-generale.fr/chronique/dans-lepicerie-dalimentation-generale-artisans-et-producteurs-de-qualite/,Depuis chez soi,aider l'agriculture vivrière responsable,,
Se rendre disponible pour aider les agriculteurs,DES BRAS POUR TON ASSIETTE,https://desbraspourtonassiette.wizi.farm/?fbclid=IwAR3136AFXWLq47zCyNM6KrPQqebkq8BCwwbVbDl8Apd5_M8v6ol6IDkgDwY&utm_source=makesense_events+-+event+participants&utm_campaign=abdbcc555a-EMAIL_CAMPAIGN_2019_10_14_09_59_COPY_01&utm_medium=email&utm_term=0_b9cb4b39b6-abdbcc555a-211144433&mc_cid=abdbcc555a&mc_eid=cff0167b5f,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
"Communiquer, rendre visible les initiatives agricoles en circuit courts (avec une super cartographie !)",CIVAM BIO DU GARD,"https://circuitscourts.gogocarto.fr/annuaire#/carte/@44.063,4.144,11z?cat=all",Depuis chez soi,aider l'agriculture vivrière responsable,,
"Faciliter la prise de commande, l’acheminement des produits alimentaires",AGGLOMERATION (exemple: Le puy en velai),https://territoiresbio.fr/contact/?utm_source=mailpoet&utm_medium=email&utm_campaign=Newsletter+spéciale+Covid19,Depuis chez soi,aider l'agriculture vivrière responsable,,
 Des bâtiments et moyens logistiques publics pour organiser la distribution de denrées alimentaires,TERRITOIRES BIO,https://territoiresbio.fr/contact/?utm_source=mailpoet&utm_medium=email&utm_campaign=Newsletter+spéciale+Covid19,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
Lorsqu’ils sont autorisés par dérogation préfectorale : faciliter le bon déroulement des marchés locaux dans un cadre sanitaire optimal,TERRITOIRES BIO,https://territoiresbio.fr/contact/?utm_source=mailpoet&utm_medium=email&utm_campaign=Newsletter+spéciale+Covid19,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
Aider la distribution alimentaire ,LA RUCHE QUI DIT OUI,https://devenir-benevole.laruchequiditoui.fr/,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,Partout en France
Ouvrir un circuit de distribution alimentaire pour petits agriculteurs,LA RUCHE QUI DIT OUI,support@lrqdo.fr,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,Partout
MAnger local à Lyon,BELLE BOUFFE,https://cartecovid19.bellebouffe.com/?fbclid=IwAR25APOM-nRKArULbklbZRA9Vnl9YawUUn94xUBlSdDRhdxV5ZFYxk2BYNA,Aux alentours de chez soi,aider l'agriculture vivrière responsable,carte Lyon.jpg (https://dl.airtable.com/.attachments/9cff7a4444f196cc42dc2022ddd16c15/f6bfad3b/carteLyon.jpg),Lyon
Acheter aux agriculteurs locaux,ACHETER LA SOURCE,https://www.acheteralasource.com/producteurs-en-france/all,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
Acheter aux petits producteurs locaux du Puy de Dome,LA MONTAGNE,https://www.lamontagne.fr/clermont-ferrand-63000/actualites/une-carte-interactive-pour-savoir-ou-on-peut-acheter-des-produits-fermiers-dans-le-puy-de-dome_13771153/,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,Puy de Dome
Trouver des producteurs en PACA,PACA,https://france3-regions.francetvinfo.fr/provence-alpes-cote-d-azur/carte-collaborative-marches-fermes-ruee-vente-directe-retrouvez-producteurs-locaux-pres-vous-1806286.html,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,PACA
Trouver des producteurs en centre Val de Loire,VAL DE LOIRE,https://france3-regions.francetvinfo.fr/centre-val-de-loire/carte-collaborative-marches-fermes-ruee-vente-directe-retrouvez-producteurs-locaux-pres-vous-1806122.html,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,Centre Val de Loire
Trouver des producteurs locaux,ALIMENTATION GENERALE,https://alimentation-generale.fr/chronique/dans-lepicerie-dalimentation-generale-artisans-et-producteurs-de-qualite/,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
Distribution de paniers locaux,LA MANDRAGORE,https://www.facebook.com/lamandragoregrainedalternatives/photos/a.516325648459763/2888343911257913/?type=3&eid=ARD9-0ZWXN7oh1rpSada1LNljVQ1HNZp-CJg5b9ZuKH8f8O1WYURasfUeqDZoH1csjWUK7MTYQFy1Uno&__xts__[0]=68.ARBowbMZGIsC1b_B5jre4q4Dv7_ME809n8x9_k5-ZMjTRMkPhRCxBtjHSnw_cH6vSc5jGNksb0cBSJ4g9PWlkChT2RyolM7UquoiYEyI9btyXL7DUp6FJQb4fI9fXLMrNTPDA4YPWj962qUbBlgUjYFF0BflXvhC-PcR_tAjY_a1VDAKcdjC1eMGzQJA6H5ykPh9CPvQHxrXhGQKOHTu797lKg_4vNxoyctIkM7airRYweW-fKUkqPFtUddJQXlJDgvwbDg01kzXGRF9Eb8LRZ6SQ3Y4tWQ530SzdmvrRHMFlp896wh7FGP7h_YxXg80VSHJbYi6B_KAe2WUWM42&__tn__=EEHH-R&hc_location=ufi,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
"Une boutique bio local et vrac, très bien achalandé, la boutique déborde de victuailles, elles ont mis en place un système de commandes à distance via un doc Word",CONSOTOPIA,https://www.facebook.com/Consotopia/,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
Informations sur les réseaux en circuits courts et vente directe et épicerie ambulante,CONFEDERATION PAYSANNE,https://www.confederationpaysanne.fr/actu.php?id=9905&fbclid=IwAR2p53-zy1nVWh8Oa0FUcZez9a7GbxkJ7PUechT-ci3Y4wklk_SkxjDhF10#.Xntp5oi8_h4.email,Depuis chez soi,aider l'agriculture vivrière responsable,,
Outil pour aider les producteurs à mettre leurs infos en commun,CAGETTE,https://www.cagette.net/kit-durgence-producteurs-covid19/?fbclid=IwAR38bWVLBjv9Qs3fg7w0TP8t1kkG4tstoJ_kIJ1ncz0kQbCtbhaKr2G7AUE,Depuis chez soi,aider l'agriculture vivrière responsable,,
Faire ses courses en ligne auprès de producteurs,SITES DIVERS,https://www.lemonde.fr/m-le-mag/article/2020/03/30/douze-sites-pour-faire-son-marche-en-ligne_6034966_4500055.html?fbclid=IwAR0VxAiB9QPzjjkrVCj9p5JKffIviz0nkD0I1v0ucw45vQFEgCl1pri6N2A,Depuis chez soi,aider l'agriculture vivrière responsable,,
Partage de pratiques pour vente en Amap,RESEAU AMAP,"http://amap-aura.org/bonnes-pratiques-coronavirus/
https://semestriel.framapad.org/p/9fky-afrrrzglwf?lang=fr
",Depuis chez soi,aider l'agriculture vivrière responsable,,
Cartographie participative des circuits-courts ,CIVAM DU GARD,"https://circuitscourts.gogocarto.fr/annuaire#/carte/@43.83,4.37,10z?cat=all
https://circuitscourts.gogocarto.fr/",Depuis chez soi,aider l'agriculture vivrière responsable,,Gard
CEM - Chantiers Ecologiques Massifs,ETIKA MONDO,"cem@etikamondo.com
www.chantiers-écologiques-massifs.fr ",Aux alentours de chez soi,aider l'agriculture vivrière responsable,Appel aux CEM.pdf (https://dl.airtable.com/.attachments/12361f87650cca984b6bdbf1c25af4e0/1751fd71/AppelauxCEM.pdf),Partout en France
Aller travailler dans des exploitations agricoles: des bras pour ton assiette,WIZIFARM,"https://desbraspourtonassiette.wizi.farm
http://www.anefa.org/sites/default/files/CP-Une-solution-de-recrutement-pour-lagriculture-COURTINE-Sylvie-FNSEA-1-1-1.pdf
",Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
Cagnotte pour aider des agriculteurs,LEETCHI,https://www.leetchi.com/c/soutien-aux-exploitants-agricoles-impactes-par-le-covid-19?fbclid=IwAR1LvukLT8K5a9oPoXxfDV1R9Mt4pSHZaGM16FPRqhYkNcA79YAWrIbzE5A,Depuis chez soi,aider l'agriculture vivrière responsable,,
,,,,aider l'agriculture vivrière responsable,,
